BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.1396838466953
-986.5,63773187.0,-984.4238664861115
-961.5,34992110.0,-956.6404220820135
-936.5,41905467.0,-937.8007953595352
-911.5,38080256.0,-920.0201427253198
-886.5,23771967.0,-904.8914424995013
-861.5,17979050.0,-889.3545949936886
-836.5,12931271.0,-872.8236531132077
-811.5,8962811.0,-854.4817094651994
-786.5,6153836.0,-834.0089215378979
-761.5,4301469.0,-810.6727874154719
-736.5,3137777.0,-784.3833276586042
-711.5,2407275.0,-755.7378641744673
-686.5,1939834.0,-725.8234759056376
-661.5,1624043.0,-695.7885294983025
-636.5,1404542.0,-666.3508529076328
-611.5,1239695.0,-637.4639194039096
-586.5,1116927.0,-609.3921053652342
-561.5,1023417.0,-581.3724303471449
-536.5,943062.0,-553.7348852182247
-511.5,882355.0,-525.0965696478968
-486.5,831351.0,-495.3917535071491
-461.5,797400.0,-464.3883520664725
-436.5,779854.0,-430.9853860751074
-411.5,781389.0,-394.729228887237
-386.5,809733.0,-354.3956918823407
-361.5,875953.0,-311.33444613254323
-336.5,995447.0,-266.29492133187773
-311.5,1204919.0,-222.31244307828197
-286.5,1555477.0,-183.28416386085584
-261.5,2132879.0,-152.3244930738929
-236.5,3062338.0,-129.90933273645217
-211.5,4509843.0,-114.72634598040933
-186.5,6626563.0,-104.28492399189003
-161.5,9449163.0,-96.37096827651142
-136.5,15690863.0,-94.48744685575906
-111.5,32972315.0,-94.62964562611599
-86.5,29782682.0,-77.56102564329582
-61.5,22497902.0,-53.080058108048355
-36.5,21385066.0,-31.235476150949452
-11.5,22037069.0,-10.445580274024344
13.5,23720463.0,8.861258295997011
38.5,26446250.0,26.960214548090246
63.5,23003218.0,40.32378414549179
88.5,16255628.0,52.37203960432157
113.5,12750198.0,67.82403248604209
138.5,8213242.0,79.37049960360774
163.5,5789757.0,100.6546235997417
188.5,4161909.0,126.0623312874256
213.5,2918187.0,152.5313763088258
238.5,2167580.0,182.80209861637599
263.5,1717158.0,214.86348124558063
288.5,1427374.0,246.06974427577745
313.5,1215060.0,275.4038204659333
338.5,1040238.0,302.8916148103768
363.5,889650.0,329.19282522473065
388.5,763529.0,355.00521484512814
413.5,660387.0,380.86962828923197
438.5,575677.0,406.3342697297315
463.5,502491.0,432.07014559689213
488.5,448281.0,457.29492137109486
513.5,404719.0,483.2125646054925
538.5,367554.0,508.16768112053506
563.5,335258.0,532.8477896959746
588.5,306823.0,557.2735893161562
613.5,282023.0,581.7990499727291
638.5,260259.0,606.5253024740517
663.5,237504.0,629.3665452680636
688.5,219030.0,653.5190314210311
713.5,203713.0,677.3000376935901
738.5,187653.0,700.5802194488074
763.5,174636.0,724.9007458539711
788.5,162293.0,749.1518747432276
813.5,150501.0,772.918678896827
838.5,139620.0,797.1468918946117
863.5,129132.0,820.4834958091159
888.5,120565.0,843.4332708476229
913.5,112535.0,867.7698158066536
938.5,104543.0,891.4592630864307
963.5,96847.0,915.8235297391096
988.5,90013.0,938.9048155026153
1013.5,84059.0,962.650411262912
1038.5,77531.0,987.0374762605983
1063.5,71673.0,1010.3496561760285
1088.5,65934.0,1033.3094214699947
1113.5,60569.0,1057.6878557450038
1138.5,54945.0,1081.4973805126149
1163.5,49769.0,1105.5270763893054
1188.5,44958.0,1129.871727169968
1213.5,40395.0,1153.0065250669172
1238.5,35524.0,1176.354608450504
1263.5,31649.0,1200.4154071865114
1288.5,27130.0,1224.214471010348
1313.5,23303.0,1248.2067723894859
1338.5,19604.0,1270.799284886156
1363.5,16647.0,1296.984781996369
1388.5,14391.0,1320.8450355553641
1413.5,12232.0,1351.8038169506565
1438.5,10415.0,1378.1351922440404
1463.5,8728.0,1404.9810510874888
1488.5,7482.0,1435.3673297522125
1513.5,5830.0,1462.5555960548886
1538.5,4541.0,1487.6633666105088
1563.5,3215.0,1510.0955374662835
1588.5,2168.0,1532.53366978494
1613.5,1414.0,1546.337148706849
1638.5,1030.0,1574.1148974372345
1663.5,808.0,1606.0714884842976
1688.5,678.0,1637.002407917934
1713.5,496.0,1663.658234134797
1738.5,368.0,1704.5017149552054
1763.5,194.0,1651.495730055976
1788.5,123.0,1653.3272953188516
1813.5,65.0,1639.3668776292068
1838.5,44.0,1690.2544583407316
1863.5,1131.0,1884.2976784406776
