BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-990.2307097584996
-986.5,63773187.0,-984.7523532812867
-961.5,34992110.0,-957.9406744537735
-936.5,41905467.0,-938.7152924422818
-911.5,38080256.0,-920.7505532576769
-886.5,23771967.0,-905.7719773598328
-861.5,17979050.0,-889.9799703120754
-836.5,12931271.0,-873.1105928527377
-811.5,8962811.0,-854.3396601547279
-786.5,6153836.0,-833.427565542607
-761.5,4301469.0,-809.633158513611
-736.5,3137777.0,-782.9749664807434
-711.5,2407275.0,-754.0164389936616
-686.5,1939834.0,-723.9093245348098
-661.5,1624043.0,-693.7603983461443
-636.5,1404542.0,-664.277256966122
-611.5,1239695.0,-635.4951864675313
-586.5,1116927.0,-607.5069375734148
-561.5,1023417.0,-579.6747771171124
-536.5,943062.0,-552.1749667344412
-511.5,882355.0,-523.7333158193253
-486.5,831351.0,-494.2633792696486
-461.5,797400.0,-463.58577916359883
-436.5,779854.0,-430.59787787453206
-411.5,781389.0,-394.790513487934
-386.5,809733.0,-354.94410906557005
-361.5,875953.0,-312.4128605616635
-336.5,995447.0,-267.9022974335916
-311.5,1204919.0,-224.36519631998513
-286.5,1555477.0,-185.62553960415866
-261.5,2132879.0,-154.76903905466645
-236.5,3062338.0,-132.25628334616763
-211.5,4509843.0,-116.86231542539231
-186.5,6626563.0,-106.20781799300684
-161.5,9449163.0,-98.1345310710053
-136.5,15690863.0,-95.78310048795537
-111.5,32972315.0,-95.44050975155609
-86.5,29782682.0,-78.71545166284763
-61.5,22497902.0,-54.722612683131096
-36.5,21385066.0,-33.01476581916535
-11.5,22037069.0,-12.153020551608911
13.5,23720463.0,7.3751904592458475
38.5,26446250.0,25.740369026751175
63.5,23003218.0,38.90016886638857
88.5,16255628.0,50.56000957403871
113.5,12750198.0,65.82396236505592
138.5,8213242.0,76.74192716072201
163.5,5789757.0,97.71079675510809
188.5,4161909.0,122.90330191086328
213.5,2918187.0,149.1251994332301
238.5,2167580.0,179.3642097195012
263.5,1717158.0,211.44645648597165
288.5,1427374.0,242.69030394560411
313.5,1215060.0,272.0525077546687
338.5,1040238.0,299.4368261672702
363.5,889650.0,325.5974607025937
388.5,763529.0,351.2769342463561
413.5,660387.0,377.04172843973066
438.5,575677.0,402.27619484848196
463.5,502491.0,427.6487424084364
488.5,448281.0,452.79740025381113
513.5,404719.0,478.45805620867867
538.5,367554.0,503.21854201328216
563.5,335258.0,527.6861011194337
588.5,306823.0,551.8196900087627
613.5,282023.0,576.0890880232536
638.5,260259.0,600.5876592362362
663.5,237504.0,623.2508648888052
688.5,219030.0,647.1407160296874
713.5,203713.0,670.7979209475837
738.5,187653.0,693.7469331591177
763.5,174636.0,717.9475547975587
788.5,162293.0,741.8352479843434
813.5,150501.0,765.5323167329291
838.5,139620.0,789.5528897186965
863.5,129132.0,812.8043427722729
888.5,120565.0,835.7707202066426
913.5,112535.0,859.69337718196
938.5,104543.0,883.536381892312
963.5,96847.0,907.4247713903256
988.5,90013.0,930.7095770221428
1013.5,84059.0,954.5104023383129
1038.5,77531.0,978.7226001720658
1063.5,71673.0,1002.168838978499
1088.5,65934.0,1025.0793144162894
1113.5,60569.0,1049.3469928573359
1138.5,54945.0,1073.675101190946
1163.5,49769.0,1097.6412850710124
1188.5,44958.0,1122.6192512235596
1213.5,40395.0,1146.481489296493
1238.5,35524.0,1170.0695949812593
1263.5,31649.0,1195.0331992737817
1288.5,27130.0,1219.008610240516
1313.5,23303.0,1243.4893810876433
1338.5,19604.0,1266.6732552712656
1363.5,16647.0,1293.2718769476107
1388.5,14391.0,1318.0050607564244
1413.5,12232.0,1349.4528398532507
1438.5,10415.0,1375.860856955863
1463.5,8728.0,1403.353408925365
1488.5,7482.0,1434.235184576447
1513.5,5830.0,1461.6521670097757
1538.5,4541.0,1486.2243728150463
1563.5,3215.0,1509.5574454157756
1588.5,2168.0,1532.2308885637685
1613.5,1414.0,1547.2811068652206
1638.5,1030.0,1574.5143631722162
1663.5,808.0,1610.2741765692683
1688.5,678.0,1641.3444899837527
1713.5,496.0,1667.9973951770414
1738.5,368.0,1704.999105370563
1763.5,194.0,1659.8224059429365
1788.5,123.0,1666.856139640498
1813.5,65.0,1652.9004732572116
1838.5,44.0,1702.5064003684304
1863.5,1131.0,1884.9280622703222
