BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-985.7656400798998
-986.5,63773187.0,-981.3977404604123
-961.5,34992110.0,-952.4209345490934
-936.5,41905467.0,-933.4414858398306
-911.5,38080256.0,-915.3618049933248
-886.5,23771967.0,-899.3525827832201
-861.5,17979050.0,-883.4175363799106
-836.5,12931271.0,-866.5195650832762
-811.5,8962811.0,-847.7941550818782
-786.5,6153836.0,-827.0492535575455
-761.5,4301469.0,-803.5939924312027
-736.5,3137777.0,-777.446778718364
-711.5,2407275.0,-749.227686023336
-686.5,1939834.0,-720.0944544238172
-661.5,1624043.0,-691.1912275547306
-636.5,1404542.0,-663.1871101302055
-611.5,1239695.0,-636.1511154991043
-586.5,1116927.0,-610.2200645085973
-561.5,1023417.0,-584.7439042759195
-536.5,943062.0,-559.8882453318323
-511.5,882355.0,-534.4293525509077
-486.5,831351.0,-508.1387953922848
-461.5,797400.0,-480.5879493687737
-436.5,779854.0,-450.4363948446732
-411.5,781389.0,-416.8480064762815
-386.5,809733.0,-378.09534019107286
-361.5,875953.0,-335.18598415606266
-336.5,995447.0,-288.46834088970115
-311.5,1204919.0,-241.38306321032354
-286.5,1555477.0,-198.57686972339093
-261.5,2132879.0,-163.91496642585682
-236.5,3062338.0,-138.38453787540865
-211.5,4509843.0,-120.82926362724054
-186.5,6626563.0,-108.69365564930305
-161.5,9449163.0,-99.65100049906381
-136.5,15690863.0,-96.64008117750984
-111.5,32972315.0,-96.00531551305615
-86.5,29782682.0,-79.06471165698237
-61.5,22497902.0,-54.69207885858561
-36.5,21385066.0,-32.74794050670859
-11.5,22037069.0,-11.80551062310971
13.5,23720463.0,7.703641568133199
38.5,26446250.0,25.959318303233157
63.5,23003218.0,39.31225389261712
88.5,16255628.0,51.49009306345484
113.5,12750198.0,67.21247606513694
138.5,8213242.0,78.8835108992224
163.5,5789757.0,100.83373912492223
188.5,4161909.0,127.32973008740632
213.5,2918187.0,155.18938519726606
238.5,2167580.0,187.2729595608635
263.5,1717158.0,221.19514994773067
288.5,1427374.0,254.06731269814543
313.5,1215060.0,284.8263469769698
338.5,1040238.0,313.40396708837466
363.5,889650.0,340.52935406569264
388.5,763529.0,367.14116884079743
413.5,660387.0,393.70079982096803
438.5,575677.0,419.77846507147353
463.5,502491.0,446.1478762157517
488.5,448281.0,471.9511593470815
513.5,404719.0,498.4120050093302
538.5,367554.0,523.8215232517878
563.5,335258.0,548.9609498853353
588.5,306823.0,573.7966076325442
613.5,282023.0,598.6595115873577
638.5,260259.0,623.6820889933351
663.5,237504.0,647.0789537026342
688.5,219030.0,671.5878536235338
713.5,203713.0,695.7730825224698
738.5,187653.0,719.3897071386233
763.5,174636.0,744.1673229494245
788.5,162293.0,768.8162809164411
813.5,150501.0,793.05588250202
838.5,139620.0,817.796658862455
863.5,129132.0,841.7632791234212
888.5,120565.0,865.1981242982463
913.5,112535.0,890.1978758550725
938.5,104543.0,914.800320199667
963.5,96847.0,939.3421507260143
988.5,90013.0,963.4934812869152
1013.5,84059.0,988.0785500380267
1038.5,77531.0,1013.1867760842047
1063.5,71673.0,1037.6038461062758
1088.5,65934.0,1061.1743250763636
1113.5,60569.0,1086.156045491062
1138.5,54945.0,1111.4031053869921
1163.5,49769.0,1136.0315657605718
1188.5,44958.0,1161.4896965927965
1213.5,40395.0,1185.3588763022042
1238.5,35524.0,1209.7643906445455
1263.5,31649.0,1235.1796540308496
1288.5,27130.0,1259.2599374818221
1313.5,23303.0,1284.0354608836074
1338.5,19604.0,1306.989906390427
1363.5,16647.0,1333.7058225507858
1388.5,14391.0,1357.5697663772198
1413.5,12232.0,1387.77298960614
1438.5,10415.0,1413.4396051883925
1463.5,8728.0,1439.4660859496958
1488.5,7482.0,1469.1795232549002
1513.5,5830.0,1496.2380945640812
1538.5,4541.0,1520.2525459765022
1563.5,3215.0,1542.5840620215906
1588.5,2168.0,1566.062326522771
1613.5,1414.0,1579.1269707362756
1638.5,1030.0,1605.9789537744614
1663.5,808.0,1636.9963244447613
1688.5,678.0,1670.0691737172174
1713.5,496.0,1696.8274622271138
1738.5,368.0,1737.840232849121
1763.5,194.0,1682.4059341273357
1788.5,123.0,1694.583648929751
1813.5,65.0,1668.2104116586538
1838.5,44.0,1728.0105285644531
1863.5,1131.0,1887.1639851132502
