BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-979.4052614210412
-986.5,63773187.0,-974.8136202227435
-961.5,34992110.0,-947.9964417791463
-936.5,41905467.0,-929.8339187628509
-911.5,38080256.0,-912.7502403968501
-886.5,23771967.0,-898.2850328148006
-861.5,17979050.0,-883.4467153910423
-836.5,12931271.0,-867.7006538889665
-811.5,8962811.0,-850.2711830868377
-786.5,6153836.0,-830.8569316691077
-761.5,4301469.0,-808.7629324777986
-736.5,3137777.0,-783.9002819667061
-711.5,2407275.0,-756.8228332226561
-686.5,1939834.0,-728.5393211273948
-661.5,1624043.0,-700.1086556066437
-636.5,1404542.0,-672.1893537486139
-611.5,1239695.0,-644.7079826526899
-586.5,1116927.0,-617.901424868618
-561.5,1023417.0,-591.0194354046283
-536.5,943062.0,-564.3628605703525
-511.5,882355.0,-536.5760337750171
-486.5,831351.0,-507.55979758465355
-461.5,797400.0,-477.0660818620753
-436.5,779854.0,-443.9780927301971
-411.5,781389.0,-407.8001165381874
-386.5,809733.0,-367.2727389250627
-361.5,875953.0,-323.75282715540817
-336.5,995447.0,-277.99599203867837
-311.5,1204919.0,-233.12926277301926
-286.5,1555477.0,-193.17986634942497
-261.5,2132879.0,-161.39897194873794
-236.5,3062338.0,-138.33249291544476
-211.5,4509843.0,-122.67072741248661
-186.5,6626563.0,-111.86895591777545
-161.5,9449163.0,-103.65583352609285
-136.5,15690863.0,-101.72335497977782
-111.5,32972315.0,-101.90972123345465
-86.5,29782682.0,-84.07455467816166
-61.5,22497902.0,-58.44581767767142
-36.5,21385066.0,-35.5582693684423
-11.5,22037069.0,-13.762322564747368
13.5,23720463.0,6.49331573131612
38.5,26446250.0,25.49898956068212
63.5,23003218.0,39.55086402260933
88.5,16255628.0,52.23532338973403
113.5,12750198.0,68.50303049924347
138.5,8213242.0,80.66664649703563
163.5,5789757.0,103.08551504077083
188.5,4161909.0,129.84499407020198
213.5,2918187.0,157.71397346469155
238.5,2167580.0,189.57469457507497
263.5,1717158.0,223.3070132836
288.5,1427374.0,256.12126159426373
313.5,1215060.0,286.9437495138024
338.5,1040238.0,315.7978078962046
363.5,889650.0,343.3737235959575
388.5,763529.0,370.40564894125663
413.5,660387.0,397.45796353156516
438.5,575677.0,424.0563281238592
463.5,502491.0,450.90394624755834
488.5,448281.0,477.18363311110704
513.5,404719.0,504.15427393955673
538.5,367554.0,530.0860911858639
563.5,335258.0,555.7006969661836
588.5,306823.0,581.0172061835933
613.5,282023.0,606.4090646233221
638.5,260259.0,631.9724145987728
663.5,237504.0,655.5588718608074
688.5,219030.0,680.4713693815665
713.5,203713.0,704.9725470867356
738.5,187653.0,728.9313589515252
763.5,174636.0,753.9364791583878
788.5,162293.0,778.8437994673106
813.5,150501.0,803.2261824538431
838.5,139620.0,828.0602589413662
863.5,129132.0,851.9521812564456
888.5,120565.0,875.4281861257737
913.5,112535.0,900.3022693851149
938.5,104543.0,924.49663519465
963.5,96847.0,949.3552051607094
988.5,90013.0,972.8826774839663
1013.5,84059.0,997.074453869571
1038.5,77531.0,1021.8998844939721
1063.5,71673.0,1045.6175904769698
1088.5,65934.0,1068.9556537424173
1113.5,60569.0,1093.718180167905
1138.5,54945.0,1117.887259358524
1163.5,49769.0,1142.2665146889763
1188.5,44958.0,1166.956754586616
1213.5,40395.0,1190.4030791817038
1238.5,35524.0,1214.0493015684049
1263.5,31649.0,1238.408875146196
1288.5,27130.0,1262.489375981782
1313.5,23303.0,1286.7595236897391
1338.5,19604.0,1309.5968317398854
1363.5,16647.0,1336.0637483773821
1388.5,14391.0,1360.1607342581465
1413.5,12232.0,1391.422333921304
1438.5,10415.0,1418.0091131612307
1463.5,8728.0,1445.0768778352535
1488.5,7482.0,1475.7348036328856
1513.5,5830.0,1503.107518212137
1538.5,4541.0,1528.4238673186833
1563.5,3215.0,1551.004698169287
1588.5,2168.0,1573.495262061538
1613.5,1414.0,1587.2786357615253
1638.5,1030.0,1615.3722721433176
1663.5,808.0,1647.2474659834759
1688.5,678.0,1678.3805055871474
1713.5,496.0,1704.9943325904107
1738.5,368.0,1745.5844033282735
1763.5,194.0,1692.2759997181056
1788.5,123.0,1693.792357405996
1813.5,65.0,1677.0639235276442
1838.5,44.0,1721.8520369096236
1863.5,1131.0,1887.515952787391
