BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.1378653516352
-986.5,63773187.0,-984.4224723792262
-961.5,34992110.0,-956.6393744647891
-936.5,41905467.0,-937.8008264196924
-911.5,38080256.0,-920.0202074042393
-886.5,23771967.0,-904.8912523312805
-861.5,17979050.0,-889.3542540630867
-836.5,12931271.0,-872.8230814345854
-811.5,8962811.0,-854.4809016903656
-786.5,6153836.0,-834.0078707901375
-761.5,4301469.0,-810.6715425802358
-736.5,3137777.0,-784.3820098405356
-711.5,2407275.0,-755.7365621483843
-686.5,1939834.0,-725.8221652146144
-661.5,1624043.0,-695.7873469924023
-636.5,1404542.0,-666.3497713608938
-611.5,1239695.0,-637.4629330396074
-586.5,1116927.0,-609.3912778655185
-561.5,1023417.0,-581.3717510372593
-536.5,943062.0,-553.7342946736953
-511.5,882355.0,-525.0959961075155
-486.5,831351.0,-495.3913496573109
-461.5,797400.0,-464.3879975295228
-436.5,779854.0,-430.9852953869648
-411.5,781389.0,-394.7291821894517
-386.5,809733.0,-354.3956324959786
-361.5,875953.0,-311.33435288121944
-336.5,995447.0,-266.29467218181145
-311.5,1204919.0,-222.31212742775858
-286.5,1555477.0,-183.28361877836267
-261.5,2132879.0,-152.32385452489228
-236.5,3062338.0,-129.9086118892886
-211.5,4509843.0,-114.72557535324299
-186.5,6626563.0,-104.28412203623733
-161.5,9449163.0,-96.37012052096065
-136.5,15690863.0,-94.48708170454597
-111.5,32972315.0,-94.62973030397265
-86.5,29782682.0,-77.56022158267882
-61.5,22497902.0,-53.07863376834097
-36.5,21385066.0,-31.233935812398375
-11.5,22037069.0,-10.444211707069876
13.5,23720463.0,8.862315793141962
38.5,26446250.0,26.961030839780975
63.5,23003218.0,40.32486096363662
88.5,16255628.0,52.3735100159599
113.5,12750198.0,67.82569885249838
138.5,8213242.0,79.3728028678785
163.5,5789757.0,100.65745829612828
188.5,4161909.0,126.06574670449245
213.5,2918187.0,152.53562117609005
238.5,2167580.0,182.80737903733544
263.5,1717158.0,214.86981973087148
288.5,1427374.0,246.07690999714248
313.5,1215060.0,275.411314519755
338.5,1040238.0,302.8991315481118
363.5,889650.0,329.2001210617385
388.5,763529.0,355.0121719681044
413.5,660387.0,380.8761891923197
438.5,575677.0,406.3406086424547
463.5,502491.0,432.07626354342995
488.5,448281.0,457.3005571676872
513.5,404719.0,483.2179755926744
538.5,367554.0,508.17281687737284
563.5,335258.0,532.8525951863777
588.5,306823.0,557.2784976634294
613.5,282023.0,581.8036627526591
638.5,260259.0,606.5300161491492
663.5,237504.0,629.3709467248241
688.5,219030.0,653.5231625450227
713.5,203713.0,677.3045164980161
738.5,187653.0,700.5842551761617
763.5,174636.0,724.9052242168174
788.5,162293.0,749.156060633927
813.5,150501.0,772.9226738503944
838.5,139620.0,797.1509159850418
863.5,129132.0,820.4871812162319
888.5,120565.0,843.436783513634
913.5,112535.0,867.7734835414485
938.5,104543.0,891.4631015779084
963.5,96847.0,915.8271982780144
988.5,90013.0,938.9084309200585
1013.5,84059.0,962.6541214451238
1038.5,77531.0,987.0417078821193
1063.5,71673.0,1010.3533641607667
1088.5,65934.0,1033.3134432705965
1113.5,60569.0,1057.6916227172696
1138.5,54945.0,1081.5017644464422
1163.5,49769.0,1105.5320050594194
1188.5,44958.0,1129.8757557265035
1213.5,40395.0,1153.0108542885102
1238.5,35524.0,1176.358987762482
1263.5,31649.0,1200.4198423339396
1288.5,27130.0,1224.2185541250676
1313.5,23303.0,1248.210426023138
1338.5,19604.0,1270.8028526095998
1363.5,16647.0,1296.9897188447994
1388.5,14391.0,1320.8488588431871
1413.5,12232.0,1351.8064455340468
1438.5,10415.0,1378.1379619215636
1463.5,8728.0,1404.983820900362
1488.5,7482.0,1435.3702865229416
1513.5,5830.0,1462.5599872778864
1538.5,4541.0,1487.6666712724173
1563.5,3215.0,1510.100130727243
1588.5,2168.0,1532.5356714452764
1613.5,1414.0,1546.3353848167321
1638.5,1030.0,1574.1105275570767
1663.5,808.0,1606.0673325038192
1688.5,678.0,1637.0031007299733
1713.5,496.0,1663.6590145480247
1738.5,368.0,1704.5049010567043
1763.5,194.0,1651.482793119765
1788.5,123.0,1653.3240758384147
1813.5,65.0,1639.3619891826922
1838.5,44.0,1690.2548800381746
1863.5,1131.0,1884.2977579860535
