BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-984.0053378339743
-986.5,63773187.0,-979.1451731720344
-961.5,34992110.0,-950.9925718454158
-936.5,41905467.0,-931.9215586129552
-911.5,38080256.0,-913.904518893881
-886.5,23771967.0,-898.6084411520732
-861.5,17979050.0,-882.9258479303137
-836.5,12931271.0,-866.2877997569943
-811.5,8962811.0,-847.8867659080377
-786.5,6153836.0,-827.4587184494407
-761.5,4301469.0,-804.372796777491
-736.5,3137777.0,-778.6849856908472
-711.5,2407275.0,-751.1605552243502
-686.5,1939834.0,-723.0356169097547
-661.5,1624043.0,-695.5195347725823
-636.5,1404542.0,-669.1857661007285
-611.5,1239695.0,-643.7267827189519
-586.5,1116927.0,-619.0316922316684
-561.5,1023417.0,-594.0669832074657
-536.5,943062.0,-568.9048937413332
-511.5,882355.0,-542.1589636804397
-486.5,831351.0,-513.7098874865297
-461.5,797400.0,-483.3533637484973
-436.5,779854.0,-450.05216519669665
-411.5,781389.0,-413.36078818778435
-386.5,809733.0,-372.08655275693985
-361.5,875953.0,-327.67746543158967
-336.5,995447.0,-280.9658965479668
-311.5,1204919.0,-235.1730190348773
-286.5,1555477.0,-194.4357211820944
-261.5,2132879.0,-162.07022391216
-236.5,3062338.0,-138.61591205332627
-211.5,4509843.0,-122.7250827158123
-186.5,6626563.0,-111.79969947479645
-161.5,9449163.0,-103.51836419304207
-136.5,15690863.0,-101.58282648372567
-111.5,32972315.0,-101.78067299013541
-86.5,29782682.0,-83.84754922278958
-61.5,22497902.0,-58.11838736415931
-36.5,21385066.0,-35.17624977059049
-11.5,22037069.0,-13.35144332680295
13.5,23720463.0,6.915232489110695
38.5,26446250.0,25.913390856461053
63.5,23003218.0,39.94980231749734
88.5,16255628.0,52.61022387659934
113.5,12750198.0,68.79985582636864
138.5,8213242.0,80.96231785456598
163.5,5789757.0,103.2871661431243
188.5,4161909.0,129.94276851123632
213.5,2918187.0,157.75914100774997
238.5,2167580.0,189.48640695323985
263.5,1717158.0,223.0626473097773
288.5,1427374.0,255.72705394351365
313.5,1215060.0,286.4055814872672
338.5,1040238.0,315.1239654879038
363.5,889650.0,342.58052508298283
388.5,763529.0,369.50369285521674
413.5,660387.0,396.45557926991194
438.5,575677.0,422.96555744986244
463.5,502491.0,449.736281854057
488.5,448281.0,475.94417155794247
513.5,404719.0,502.8453470743479
538.5,367554.0,528.7177571618569
563.5,335258.0,554.2740415417429
588.5,306823.0,579.542489990555
613.5,282023.0,604.8905275094837
638.5,260259.0,630.419151851375
663.5,237504.0,653.9761967557487
688.5,219030.0,678.8609460565699
713.5,203713.0,703.3420910133211
738.5,187653.0,727.2913737689524
763.5,174636.0,752.2861103113869
788.5,162293.0,777.1853985155652
813.5,150501.0,801.5669896598907
838.5,139620.0,826.4068190870406
863.5,129132.0,850.3056980318929
888.5,120565.0,873.7870533516469
913.5,112535.0,898.673964511605
938.5,104543.0,922.8816138690856
963.5,96847.0,947.7546967191465
988.5,90013.0,971.297885466701
1013.5,84059.0,995.5035798902803
1038.5,77531.0,1020.3435142843695
1063.5,71673.0,1044.0798085034555
1088.5,65934.0,1067.4391434660497
1113.5,60569.0,1092.2167196995724
1138.5,54945.0,1116.3997429758417
1163.5,49769.0,1140.7972308235926
1188.5,44958.0,1165.494856598146
1213.5,40395.0,1188.9575097613942
1238.5,35524.0,1212.6138352466157
1263.5,31649.0,1236.9913538298474
1288.5,27130.0,1261.0776744647085
1313.5,23303.0,1285.3540604599596
1338.5,19604.0,1308.2031287360837
1363.5,16647.0,1334.6892330508595
1388.5,14391.0,1358.8018819440372
1413.5,12232.0,1390.0957392211674
1438.5,10415.0,1416.709934847388
1463.5,8728.0,1443.7974072254435
1488.5,7482.0,1474.474823120411
1513.5,5830.0,1501.8721117912803
1538.5,4541.0,1527.2021969322905
1563.5,3215.0,1549.7803083310046
1588.5,2168.0,1572.2279190119782
1613.5,1414.0,1585.970208886995
1638.5,1030.0,1614.0528411568948
1663.5,808.0,1645.905813538202
1688.5,678.0,1677.0567374890534
1713.5,496.0,1703.7172187066847
1738.5,368.0,1744.3399419369905
1763.5,194.0,1691.11257462649
1788.5,123.0,1692.7183430989583
1813.5,65.0,1676.0819354717548
1838.5,44.0,1721.2335704456675
1863.5,1131.0,1887.4459618147657
