BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.1379274022313
-986.5,63773187.0,-984.4225463900073
-961.5,34992110.0,-956.6394744373623
-936.5,41905467.0,-937.8009132808652
-911.5,38080256.0,-920.0202971183692
-886.5,23771967.0,-904.8913681482949
-861.5,17979050.0,-889.3543855730087
-836.5,12931271.0,-872.8232274870298
-811.5,8962811.0,-854.4810595043152
-786.5,6153836.0,-834.0080351849363
-761.5,4301469.0,-810.6717069081811
-736.5,3137777.0,-784.3821673291409
-711.5,2407275.0,-755.7367060805034
-686.5,1939834.0,-725.8222937812279
-661.5,1624043.0,-695.787459176747
-636.5,1404542.0,-666.3498698228445
-611.5,1239695.0,-637.4630196768428
-586.5,1116927.0,-609.3913554303158
-561.5,1023417.0,-581.3718190824558
-536.5,943062.0,-553.7343545551494
-511.5,882355.0,-525.0960463003548
-486.5,831351.0,-495.39138772239625
-461.5,797400.0,-464.3880202210682
-436.5,779854.0,-430.98529770188253
-411.5,781389.0,-394.7291580754608
-386.5,809733.0,-354.3955724198425
-361.5,875953.0,-311.33425000442764
-336.5,995447.0,-266.2945203308883
-311.5,1204919.0,-222.3119281861944
-286.5,1555477.0,-183.28338168162452
-261.5,2132879.0,-152.32359888316643
-236.5,3062338.0,-129.90835775220052
-211.5,4509843.0,-114.72534021821542
-186.5,6626563.0,-104.28391964914792
-161.5,9449163.0,-96.36995810496133
-136.5,15690863.0,-94.48698402674152
-111.5,32972315.0,-94.62970240000686
-86.5,29782682.0,-77.56020346377
-61.5,22497902.0,-53.078609061593845
-36.5,21385066.0,-31.23391547414571
-11.5,22037069.0,-10.444200246859879
13.5,23720463.0,8.862312234936427
38.5,26446250.0,26.96100689839836
63.5,23003218.0,40.32481233290195
88.5,16255628.0,52.37343328435067
113.5,12750198.0,67.82560139510883
138.5,8213242.0,79.37267973699902
163.5,5789757.0,100.65733010345858
188.5,4161909.0,126.06562464377097
213.5,2918187.0,152.53550929630134
238.5,2167580.0,182.80728494996865
263.5,1717158.0,214.86974677462356
288.5,1427374.0,246.0768532996064
313.5,1215060.0,275.41127077663725
338.5,1040238.0,302.8990987249888
363.5,889650.0,329.2000958165853
388.5,763529.0,355.0121559525601
413.5,660387.0,380.87618285956654
438.5,575677.0,406.34061207707845
463.5,502491.0,432.07627484430674
488.5,448281.0,457.30057735902164
513.5,404719.0,483.2180015096062
538.5,367554.0,508.172848722748
563.5,335258.0,532.8526356348352
588.5,306823.0,557.2785397902455
613.5,282023.0,581.8037064413937
638.5,260259.0,606.5300580866492
663.5,237504.0,629.370992615293
688.5,219030.0,653.5232098647548
713.5,203713.0,677.3045617797964
738.5,187653.0,700.5843033995068
763.5,174636.0,724.9052720115429
788.5,162293.0,749.1561082866515
813.5,150501.0,772.9227229847882
838.5,139620.0,797.1509650374257
863.5,129132.0,820.487230258187
888.5,120565.0,843.436834343949
913.5,112535.0,867.7735278321397
938.5,104543.0,891.4631442977887
963.5,96847.0,915.8272399476944
988.5,90013.0,938.9084695090484
1013.5,84059.0,962.654161966531
1038.5,77531.0,987.0417436855903
1063.5,71673.0,1010.3534027125582
1088.5,65934.0,1033.3134768179934
1113.5,60569.0,1057.6916597259233
1138.5,54945.0,1081.5017990535812
1163.5,49769.0,1105.5320184452364
1188.5,44958.0,1129.8757680942751
1213.5,40395.0,1153.0108678599368
1238.5,35524.0,1176.3589922021522
1263.5,31649.0,1200.4198461408023
1288.5,27130.0,1224.2185418730419
1313.5,23303.0,1248.210399852118
1338.5,19604.0,1270.8028209774234
1363.5,16647.0,1296.9896886627
1388.5,14391.0,1320.848818195495
1413.5,12232.0,1351.806403569882
1438.5,10415.0,1378.1379148163705
1463.5,8728.0,1404.983769123976
1488.5,7482.0,1435.370240954593
1513.5,5830.0,1462.5599355602756
1538.5,4541.0,1487.6666080463933
1563.5,3215.0,1510.1000631424354
1588.5,2168.0,1532.535607200707
1613.5,1414.0,1546.3352786310998
1638.5,1030.0,1574.1104061978535
1663.5,808.0,1606.0672497135579
1688.5,678.0,1637.0030258313745
1713.5,496.0,1663.658949821226
1738.5,368.0,1704.5048662268598
1763.5,194.0,1651.4826641279396
1788.5,123.0,1653.3238753652186
1813.5,65.0,1639.361709359976
1838.5,44.0,1690.2546608664773
1863.5,1131.0,1884.2977365077227
