BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.1379274035063
-986.5,63773187.0,-984.4225463895565
-961.5,34992110.0,-956.6394744339209
-936.5,41905467.0,-937.8009132790926
-911.5,38080256.0,-920.0202971122882
-886.5,23771967.0,-904.8913681539563
-861.5,17979050.0,-889.3543855847411
-836.5,12931271.0,-872.8232274895266
-811.5,8962811.0,-854.4810594859015
-786.5,6153836.0,-834.0080351638699
-761.5,4301469.0,-810.6717069208522
-736.5,3137777.0,-784.3821673502655
-711.5,2407275.0,-755.7367060917101
-686.5,1939834.0,-725.82229380212
-661.5,1624043.0,-695.7874591296564
-636.5,1404542.0,-666.3498698017686
-611.5,1239695.0,-637.463019689299
-586.5,1116927.0,-609.3913554529937
-561.5,1023417.0,-581.3718191366077
-536.5,943062.0,-553.7343545793548
-511.5,882355.0,-525.0960462652149
-486.5,831351.0,-495.39138768135626
-461.5,797400.0,-464.3880201992535
-436.5,779854.0,-430.9852977061871
-411.5,781389.0,-394.72915810568986
-386.5,809733.0,-354.3955725007219
-361.5,875953.0,-311.33425000993225
-336.5,995447.0,-266.2945204143984
-311.5,1204919.0,-222.31192817905205
-286.5,1555477.0,-183.28338165274474
-261.5,2132879.0,-152.32359887904568
-236.5,3062338.0,-129.9083577285226
-211.5,4509843.0,-114.72534021273425
-186.5,6626563.0,-104.28391962926206
-161.5,9449163.0,-96.36995810937304
-136.5,15690863.0,-94.4869840245243
-111.5,32972315.0,-94.62970240365908
-86.5,29782682.0,-77.5602034683503
-61.5,22497902.0,-53.07860904568253
-36.5,21385066.0,-31.23391546761838
-11.5,22037069.0,-10.444200256021908
13.5,23720463.0,8.86231223210087
38.5,26446250.0,26.961006890918473
63.5,23003218.0,40.32481231543507
88.5,16255628.0,52.37343326945574
113.5,12750198.0,67.82560139922086
138.5,8213242.0,79.37267974555245
163.5,5789757.0,100.6573301230771
188.5,4161909.0,126.0656246030751
213.5,2918187.0,152.53550931079573
238.5,2167580.0,182.80728498955907
263.5,1717158.0,214.86974669500435
288.5,1427374.0,246.0768532485504
313.5,1215060.0,275.4112706953615
338.5,1040238.0,302.8990987048048
363.5,889650.0,329.2000958133608
388.5,763529.0,355.0121559560774
413.5,660387.0,380.87618282712594
438.5,575677.0,406.3406121503405
463.5,502491.0,432.0762746970909
488.5,448281.0,457.3005773206263
513.5,404719.0,483.21800142062904
538.5,367554.0,508.1728487159396
563.5,335258.0,532.8526357029235
588.5,306823.0,557.2785398994561
613.5,282023.0,581.803706498312
638.5,260259.0,606.5300579344477
663.5,237504.0,629.3709924068775
688.5,219030.0,653.52320990321
713.5,203713.0,677.3045618229407
738.5,187653.0,700.5843034918793
763.5,174636.0,724.9052721342172
788.5,162293.0,749.156108491239
813.5,150501.0,772.922722932067
838.5,139620.0,797.1509648542591
863.5,129132.0,820.4872302832377
888.5,120565.0,843.4368344877221
913.5,112535.0,867.7735276499047
938.5,104543.0,891.463144347998
963.5,96847.0,915.8272397416116
988.5,90013.0,938.908469254772
1013.5,84059.0,962.6541616615694
1038.5,77531.0,987.0417439264844
1063.5,71673.0,1010.3534026291036
1088.5,65934.0,1033.3134771549485
1113.5,60569.0,1057.6916596553847
1138.5,54945.0,1081.501798846965
1163.5,49769.0,1105.5320188585229
1188.5,44958.0,1129.8757679693756
1213.5,40395.0,1153.0108673552768
1238.5,35524.0,1176.3589918413431
1263.5,31649.0,1200.4198460347347
1288.5,27130.0,1224.2185417560559
1313.5,23303.0,1248.2103998992636
1338.5,19604.0,1270.8028214568874
1363.5,16647.0,1296.989689124671
1388.5,14391.0,1320.8488185856856
1413.5,12232.0,1351.8064042784326
1438.5,10415.0,1378.1379153555195
1463.5,8728.0,1404.983769165934
1488.5,7482.0,1435.3702412482667
1513.5,5830.0,1462.5599335083218
1538.5,4541.0,1487.666607804457
1563.5,3215.0,1510.1000635221253
1588.5,2168.0,1532.535607313318
1613.5,1414.0,1546.3352758685467
1638.5,1030.0,1574.1104035905264
1663.5,808.0,1606.0672513754062
1688.5,678.0,1637.0030213302568
1713.5,496.0,1663.6589520362115
1738.5,368.0,1704.5048698757005
1763.5,194.0,1651.4826565771987
1788.5,123.0,1653.323885289634
1813.5,65.0,1639.3616924579328
1838.5,44.0,1690.254638671875
1863.5,1131.0,1884.2977371553106
