BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.1379274075839
-986.5,63773187.0,-984.4225463884165
-961.5,34992110.0,-956.6394744441004
-936.5,41905467.0,-937.8009132796475
-911.5,38080256.0,-920.0202971239326
-886.5,23771967.0,-904.8913681568037
-861.5,17979050.0,-889.35438557382
-836.5,12931271.0,-872.8232274701747
-811.5,8962811.0,-854.4810595032188
-786.5,6153836.0,-834.0080351941305
-761.5,4301469.0,-810.6717069154603
-736.5,3137777.0,-784.3821673436713
-711.5,2407275.0,-755.7367061126529
-686.5,1939834.0,-725.8222937847204
-661.5,1624043.0,-695.7874591426975
-636.5,1404542.0,-666.3498698402702
-611.5,1239695.0,-637.4630196770398
-586.5,1116927.0,-609.3913554497697
-561.5,1023417.0,-581.3718191187161
-536.5,943062.0,-553.7343545783839
-511.5,882355.0,-525.0960462779428
-486.5,831351.0,-495.39138769442445
-461.5,797400.0,-464.3880201524859
-436.5,779854.0,-430.9852976969519
-411.5,781389.0,-394.7291580824908
-386.5,809733.0,-354.3955725268023
-361.5,875953.0,-311.3342500329959
-336.5,995447.0,-266.29452043040146
-311.5,1204919.0,-222.31192822504676
-286.5,1555477.0,-183.28338167546403
-261.5,2132879.0,-152.3235989653811
-236.5,3062338.0,-129.9083577427134
-211.5,4509843.0,-114.7253401978471
-186.5,6626563.0,-104.28391963849117
-161.5,9449163.0,-96.36995811864863
-136.5,15690863.0,-94.48698402233431
-111.5,32972315.0,-94.62970239520325
-86.5,29782682.0,-77.56020346582754
-61.5,22497902.0,-53.07860905997423
-36.5,21385066.0,-31.233915450002865
-11.5,22037069.0,-10.444200255254714
13.5,23720463.0,8.862312226514666
38.5,26446250.0,26.961006901451704
63.5,23003218.0,40.32481231369183
88.5,16255628.0,52.37343327204648
113.5,12750198.0,67.8256013991347
138.5,8213242.0,79.37267976138857
163.5,5789757.0,100.65733011125961
188.5,4161909.0,126.06562462256512
213.5,2918187.0,152.53550931989395
238.5,2167580.0,182.80728495993665
263.5,1717158.0,214.86974674252707
288.5,1427374.0,246.07685326689463
313.5,1215060.0,275.4112707389631
338.5,1040238.0,302.8990986254773
363.5,889650.0,329.2000958524661
388.5,763529.0,355.0121559960465
413.5,660387.0,380.8761828816557
438.5,575677.0,406.3406121316804
463.5,502491.0,432.0762747501712
488.5,448281.0,457.30057733560324
513.5,404719.0,483.21800140705625
538.5,367554.0,508.1728487780452
563.5,335258.0,532.8526355106742
588.5,306823.0,557.2785396360777
613.5,282023.0,581.803706411095
638.5,260259.0,606.5300579027879
663.5,237504.0,629.3709924266653
688.5,219030.0,653.5232098644761
713.5,203713.0,677.3045616851185
738.5,187653.0,700.5843033881227
763.5,174636.0,724.9052719168286
788.5,162293.0,749.1561084882304
813.5,150501.0,772.9227229361226
838.5,139620.0,797.1509648896684
863.5,129132.0,820.4872300861398
888.5,120565.0,843.436834343949
913.5,112535.0,867.7735279048168
938.5,104543.0,891.4631443328185
963.5,96847.0,915.827239635104
988.5,90013.0,938.9084691679789
1013.5,84059.0,962.6541618764948
1038.5,77531.0,987.041743915463
1063.5,71673.0,1010.3534027874971
1088.5,65934.0,1033.3134769846195
1113.5,60569.0,1057.6916599738167
1138.5,54945.0,1081.5017988958418
1163.5,49769.0,1105.5320189271995
1188.5,44958.0,1129.8757683848023
1213.5,40395.0,1153.010867418737
1238.5,35524.0,1176.358992446128
1263.5,31649.0,1200.4198461600874
1288.5,27130.0,1224.218542246497
1313.5,23303.0,1248.2104008840818
1338.5,19604.0,1270.8028212264956
1363.5,16647.0,1296.989689066008
1388.5,14391.0,1320.8488178986106
1413.5,12232.0,1351.8064040888205
1438.5,10415.0,1378.1379154727256
1463.5,8728.0,1404.983769123976
1488.5,7482.0,1435.3702412156363
1513.5,5830.0,1462.5599341155325
1538.5,4541.0,1487.6666093367203
1563.5,3215.0,1510.1000614338307
1588.5,2168.0,1532.535607088096
1613.5,1414.0,1546.3352758685467
1638.5,1030.0,1574.1104032349817
1663.5,808.0,1606.0672510732518
1688.5,678.0,1637.0030242109722
1713.5,496.0,1663.6589520362115
1738.5,368.0,1704.504868880562
1763.5,194.0,1651.4826578356556
1788.5,123.0,1653.3238872745173
1813.5,65.0,1639.3616962139422
1838.5,44.0,1690.2546497691762
1863.5,1131.0,1884.297736939448
