BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-982.0812313892542
-986.5,63773187.0,-979.2915497787887
-961.5,34992110.0,-949.6105498184962
-936.5,41905467.0,-932.6088789466893
-911.5,38080256.0,-915.4454844404587
-886.5,23771967.0,-899.9259785180145
-861.5,17979050.0,-884.7874791957603
-836.5,12931271.0,-868.8302917499136
-811.5,8962811.0,-851.1775154338048
-786.5,6153836.0,-831.5611231638026
-761.5,4301469.0,-809.2146062922584
-736.5,3137777.0,-784.0846161713823
-711.5,2407275.0,-756.6796021226104
-686.5,1939834.0,-728.1492525019883
-661.5,1624043.0,-699.5639319500167
-636.5,1404542.0,-671.5560474830986
-611.5,1239695.0,-644.1025890880453
-586.5,1116927.0,-617.3565496255032
-561.5,1023417.0,-590.6722068930387
-536.5,943062.0,-564.1731779678643
-511.5,882355.0,-536.7990743576937
-486.5,831351.0,-508.3324452336368
-461.5,797400.0,-478.62547756106085
-436.5,779854.0,-446.6297075100368
-411.5,781389.0,-411.883482477985
-386.5,809733.0,-373.33291896349704
-361.5,875953.0,-332.05364514322747
-336.5,995447.0,-288.9339738286426
-311.5,1204919.0,-246.690892066677
-286.5,1555477.0,-208.84856692059213
-261.5,2132879.0,-178.35601876515963
-236.5,3062338.0,-155.63904088680712
-211.5,4509843.0,-139.48886305005473
-186.5,6626563.0,-127.70482471649592
-161.5,9449163.0,-118.16899809078008
-136.5,15690863.0,-111.26237383237503
-111.5,32972315.0,-104.68107282141739
-86.5,29782682.0,-87.92391764051801
-61.5,22497902.0,-64.18646816363399
-36.5,21385066.0,-40.15888684295709
-11.5,22037069.0,-16.381968656626103
13.5,23720463.0,5.732353120228243
38.5,26446250.0,25.842366282292982
63.5,23003218.0,40.39837032771519
88.5,16255628.0,54.04703006101245
113.5,12750198.0,70.6532911484452
138.5,8213242.0,83.42609179915421
163.5,5789757.0,105.98019710407151
188.5,4161909.0,133.30827369040742
213.5,2918187.0,162.5795709059722
238.5,2167580.0,195.877710145599
263.5,1717158.0,230.92344542659632
288.5,1427374.0,264.7252152389387
313.5,1215060.0,296.18759436478405
338.5,1040238.0,325.03622949670586
363.5,889650.0,352.6209814643163
388.5,763529.0,379.4183620593577
413.5,660387.0,406.1979992869186
438.5,575677.0,432.5566740442759
463.5,502491.0,459.313987919825
488.5,448281.0,485.4143580445346
513.5,404719.0,512.1857161128524
538.5,367554.0,537.908962207432
563.5,335258.0,563.2678830378949
588.5,306823.0,588.5955053210678
613.5,282023.0,613.6873437434815
638.5,260259.0,639.3449286715837
663.5,237504.0,663.2623210304093
688.5,219030.0,688.1840638474939
713.5,203713.0,712.800392456597
738.5,187653.0,736.7294162696313
763.5,174636.0,761.8125889863611
788.5,162293.0,786.6079522599136
813.5,150501.0,810.8886700593682
838.5,139620.0,835.6466203506791
863.5,129132.0,859.5116547961861
888.5,120565.0,882.6732561714433
913.5,112535.0,907.4514151348226
938.5,104543.0,931.5182535850885
963.5,96847.0,955.86313168056
988.5,90013.0,979.0777940121105
1013.5,84059.0,1002.7586436568176
1038.5,77531.0,1026.9687222342036
1063.5,71673.0,1050.325608934196
1088.5,65934.0,1072.6305128463127
1113.5,60569.0,1096.526998456822
1138.5,54945.0,1119.9292782084285
1163.5,49769.0,1143.3271808430732
1188.5,44958.0,1166.8620050860404
1213.5,40395.0,1188.7588980418707
1238.5,35524.0,1210.83036975154
1263.5,31649.0,1233.8956812311037
1288.5,27130.0,1255.8334833467836
1313.5,23303.0,1278.2081212551764
1338.5,19604.0,1298.905912936743
1363.5,16647.0,1323.76930497225
1388.5,14391.0,1345.0038164637267
1413.5,12232.0,1372.7541730343087
1438.5,10415.0,1396.2968504921726
1463.5,8728.0,1420.4818056213212
1488.5,7482.0,1448.8142498050008
1513.5,5830.0,1474.4751466728198
1538.5,4541.0,1497.6392528716228
1563.5,3215.0,1521.112853339449
1588.5,2168.0,1542.1713422374091
1613.5,1414.0,1557.2462413739281
1638.5,1030.0,1585.012086264601
1663.5,808.0,1614.9732341199817
1688.5,678.0,1645.5448424752835
1713.5,496.0,1673.0761174848003
1738.5,368.0,1708.695797464122
1763.5,194.0,1673.4176421804527
1788.5,123.0,1681.6869045350609
1813.5,65.0,1683.9420391376202
1838.5,44.0,1722.0102566805754
1863.5,1131.0,1887.0267152659774
