PatientID,BodyType,NumSlices,Threshold_HU,NumPixels,MeanCorrectionAt130_HU,MinCorrectionAt130_HU,MaxCorrectionAt130_HU,FlipUp_Count,FlipUp_pct,FlipUp_MeanDistance_HU,FlipUp_Within1HU_pct,FlipUp_Within2HU_pct,FlipUp_Within5HU_pct,FlipUp_Within10HU_pct,FlipUp_Within20HU_pct,FlipDown_Count,FlipDown_pct,FlipDown_MeanDistance_HU,FlipDown_Within1HU_pct,FlipDown_Within2HU_pct,FlipDown_Within5HU_pct,FlipDown_Within10HU_pct,FlipDown_Within20HU_pct,NewDisagree_Count,NewDisagree_pct,NewDisagree_MeanDistance_HU,NewDisagree_Within1HU_pct,NewDisagree_Within2HU_pct,NewDisagree_Within5HU_pct,NewDisagree_Within10HU_pct,NewDisagree_Within20HU_pct,ResolvedDisagree_Count,ResolvedDisagree_pct,ResolvedDisagree_MeanDistance_HU,ResolvedDisagree_Within1HU_pct,ResolvedDisagree_Within2HU_pct,ResolvedDisagree_Within5HU_pct,ResolvedDisagree_Within10HU_pct,ResolvedDisagree_Within20HU_pct
C121,Chest,392,130.0,102760448,21.545047796502406,8.57596492767334,38.03624725341797,307653,0.29938853516870617,11.366333697017978,4.233340809288387,8.558993411408307,21.985483645535716,46.01125293756277,84.61220920972654,0,0.0,,,,,,,178323,0.17353271951480786,11.811486844404184,3.781340601044173,7.7292329088227545,20.287904532786012,43.364568788098005,82.9506008759386,129330,0.12585581565389828,10.752546923023951,4.856568468259491,9.703085131060078,24.326142426351193,49.66055826181087,86.90327070285316
C135,Chest,355,130.0,93061120,29.643884014075912,21.747453689575195,45.898433685302734,473414,0.5087129834672095,14.59549118791243,3.2162124483010643,6.423341937500792,16.322922431529275,33.97575906077978,74.28360800483298,0,0.0,,,,,,,266038,0.28587448764854756,15.31588428032074,2.800727715589502,5.648065313977702,14.525744442523248,31.033536562445967,71.4646028011036,207376,0.22283849581866197,13.671315059775178,3.7492284545945527,7.417926857495564,18.62848159864208,37.750270040891905,77.90004629272433
C170,Chest,359,130.0,94109696,23.97771413479011,11.470133781433105,36.218101501464844,447908,0.47594245761881965,13.19707988139881,3.491118711878332,7.064173892852996,18.073800869821483,38.27683363547872,76.80751404306241,0,0.0,,,,,,,260101,0.27638066113825294,13.83454632899065,2.9842253586106935,6.09993810096847,16.042998681281503,34.9529605806975,74.20002229903,187807,0.19956179648056668,12.314228535046325,4.193134441208262,8.39958042032512,20.886335440106066,42.88019083420746,80.41872773645285
C249,Chest,350,130.0,91750400,19.388029425484792,10.369004249572754,36.21942138671875,197028,0.21474347795758927,11.583196490275176,4.508496254339485,9.103782203544673,23.208884016484966,48.71388838134681,81.80461660271637,0,0.0,,,,,,,112832,0.12297712053571429,12.350006078632461,3.952779353374929,7.927715541690301,20.711323028927964,44.872022121384006,78.7409600113443,84196,0.091766357421875,10.555586419483166,5.253218680222338,10.679842272792056,26.555893391610052,53.86241626680602,85.91025701933583
C280,Chest,369,130.0,96731136,35.3724752338275,17.479610443115234,44.89081954956055,515032,0.5324366292979336,16.328724699160077,2.6373118563506734,5.309961322791594,13.487899780984483,28.094564997903042,61.59423103807142,0,0.0,,,,,,,301783,0.31198124252360687,16.975067841586505,2.295026558818754,4.6420772541859545,11.971515956829908,25.498122823353203,58.60634959557033,213249,0.22045538677432672,15.414040954846579,3.1217027981373886,6.255128980675173,15.633836500991798,31.76896491894452,65.82258298983817
L006,Abdomen,215,130.0,56360960,1.8496933398984892,-0.6884656548500061,4.988086223602295,33882,0.06011608035065407,1.5182361164816958,41.871790331149285,68.96877398028451,100.0,100.0,100.0,375,0.0006653541742369186,0.22296875,100.0,100.0,100.0,100.0,100.0,19174,0.03402000249818314,1.5748748254064748,40.10117867946177,66.82486700740586,100.0,100.0,100.0,15083,0.02676143202670785,1.4140316647622737,45.567857853212224,72.46568984949944,100.0,100.0,100.0
L107,Abdomen,202,130.0,52953088,4.68168342069234,0.18361644446849823,7.739910125732422,94870,0.17915857900487314,2.796435055351237,18.65605565510699,37.47443870559713,87.80225571835143,100.0,100.0,0,0.0,,,,,,,52192,0.09856271271658416,2.9182310659851787,16.954705702023297,34.744788473329244,86.35997854077253,100.0,100.0,42678,0.08059586628828899,2.6474876380568957,20.736679319555744,40.81259665401378,89.5660527672337,100.0,100.0
L220,Abdomen,156,130.0,40894464,1.3278716057718087,-1.4075459241867065,4.531357288360596,50374,0.12318048721704727,1.6321608460512242,34.12077659109858,63.405725175685866,100.0,100.0,100.0,523,0.0012789017114883815,0.31753919320626195,96.36711281070745,100.0,100.0,100.0,100.0,28790,0.07040072710086138,1.706192598544959,31.490100729419936,60.44112539076068,100.0,100.0,100.0,22107,0.05405866182767428,1.5046482135360124,39.01931514904781,68.13226579816347,100.0,100.0,100.0
L221,Abdomen,99,130.0,25952256,1.674127327165369,-0.39186549186706543,5.607883930206299,25957,0.10001827972103851,1.5463532019677375,36.57972801171168,66.54467003120546,99.63786261894671,100.0,100.0,71,0.00027357929884785356,0.14878651793573944,100.0,100.0,100.0,100.0,100.0,12511,0.04820775504064078,1.633721319379571,33.80225401646551,63.12844696666933,99.49644313004556,100.0,100.0,13517,0.05208410397924558,1.4581465176808601,39.48361322778723,69.8823703484501,99.77065916993416,100.0,100.0
L241,Abdomen,155,130.0,40632320,7.937055678136887,0.39274272322654724,10.920014381408691,178829,0.4401151595577117,4.661375039088931,10.746579134256748,21.43332457263643,54.26077425920852,99.93289678967058,100.0,0,0.0,,,,,,,104796,0.2579129126764113,4.919021427642754,9.105309362952784,18.52837894576129,50.089698080079394,99.92843238291537,100.0,74033,0.1822022468813004,4.2966686298915056,13.069847230289195,25.545364904839733,60.16506152661651,99.93921629543581,100.0
