BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.1379274051087
-986.5,63773187.0,-984.4225463897163
-961.5,34992110.0,-956.6394744438719
-936.5,41905467.0,-937.8009132789455
-911.5,38080256.0,-920.0202971138942
-886.5,23771967.0,-904.8913681513219
-861.5,17979050.0,-889.3543855804229
-836.5,12931271.0,-872.823227472195
-811.5,8962811.0,-854.4810595083126
-786.5,6153836.0,-834.0080351739072
-761.5,4301469.0,-810.671706931849
-736.5,3137777.0,-784.3821673485731
-711.5,2407275.0,-755.7367060876787
-686.5,1939834.0,-725.8222937946631
-661.5,1624043.0,-695.7874591503643
-636.5,1404542.0,-666.3498698053754
-611.5,1239695.0,-637.46301966867
-586.5,1116927.0,-609.3913554361083
-561.5,1023417.0,-581.371819156348
-536.5,943062.0,-553.7343546028482
-511.5,882355.0,-525.096046312391
-486.5,831351.0,-495.39138771307233
-461.5,797400.0,-464.3880202263496
-436.5,779854.0,-430.98529768889057
-411.5,781389.0,-394.72915808116295
-386.5,809733.0,-354.395572418938
-361.5,875953.0,-311.3342500592647
-336.5,995447.0,-266.2945203689032
-311.5,1204919.0,-222.31192823016292
-286.5,1555477.0,-183.28338166761625
-261.5,2132879.0,-152.32359890671765
-236.5,3062338.0,-129.90835775724304
-211.5,4509843.0,-114.72534022938078
-186.5,6626563.0,-104.28391962769625
-161.5,9449163.0,-96.36995811600676
-136.5,15690863.0,-94.48698402646534
-111.5,32972315.0,-94.62970239659899
-86.5,29782682.0,-77.56020345866916
-61.5,22497902.0,-53.078609057565146
-36.5,21385066.0,-31.233915467621234
-11.5,22037069.0,-10.444200252892195
13.5,23720463.0,8.862312230683091
38.5,26446250.0,26.96100689974386
63.5,23003218.0,40.32481232076826
88.5,16255628.0,52.37343327337565
113.5,12750198.0,67.825601411691
138.5,8213242.0,79.37267976419761
163.5,5789757.0,100.657330117142
188.5,4161909.0,126.06562461699235
213.5,2918187.0,152.53550929460718
238.5,2167580.0,182.80728497150966
263.5,1717158.0,214.86974682182637
288.5,1427374.0,246.07685330200096
313.5,1215060.0,275.41127069099133
338.5,1040238.0,302.8990987233459
363.5,889650.0,329.20009581013636
388.5,763529.0,355.0121559626323
413.5,660387.0,380.8761829482005
438.5,575677.0,406.3406121272275
463.5,502491.0,432.0762747553942
488.5,448281.0,457.30057729176167
513.5,404719.0,483.21800136950486
538.5,367554.0,508.17284873752715
563.5,335258.0,532.8526356270069
588.5,306823.0,557.2785397454871
613.5,282023.0,581.8037064180205
638.5,260259.0,606.5300580432636
663.5,237504.0,629.3709924559618
688.5,219030.0,653.5232100224771
713.5,203713.0,677.3045619020387
738.5,187653.0,700.584303448295
763.5,174636.0,724.9052720517353
788.5,162293.0,749.1561084148948
813.5,150501.0,772.9227231514677
838.5,139620.0,797.1509651029986
863.5,129132.0,820.4872303314488
888.5,120565.0,843.4368343317992
913.5,112535.0,867.7735277898352
938.5,104543.0,891.4631441856937
963.5,96847.0,915.8272397592578
988.5,90013.0,938.9084693300377
1013.5,84059.0,962.6541617980761
1038.5,77531.0,987.041744246102
1063.5,71673.0,1010.3534024741164
1088.5,65934.0,1033.3134771179205
1113.5,60569.0,1057.6916597561542
1138.5,54945.0,1081.5017988225263
1163.5,49769.0,1105.5320187346597
1188.5,44958.0,1129.875768365796
1213.5,40395.0,1153.0108674066494
1238.5,35524.0,1176.3589917451275
1263.5,31649.0,1200.4198457956006
1288.5,27130.0,1224.2185414095975
1313.5,23303.0,1248.210399281133
1338.5,19604.0,1270.802821014784
1363.5,16647.0,1296.989688670033
1388.5,14391.0,1320.848818237907
1413.5,12232.0,1351.8064045279225
1438.5,10415.0,1378.1379146640024
1463.5,8728.0,1404.9837694036971
1488.5,7482.0,1435.3702416724618
1513.5,5830.0,1462.5599338852112
1538.5,4541.0,1487.6666076700478
1563.5,3215.0,1510.1000622311794
1588.5,2168.0,1532.5356070317905
1613.5,1414.0,1546.3352744009403
1638.5,1030.0,1574.110404775675
1663.5,808.0,1606.0672516775603
1688.5,678.0,1637.0030225905698
1713.5,496.0,1663.658948836788
1738.5,368.0,1704.5048668902853
1763.5,194.0,1651.4826603525692
1788.5,123.0,1653.3238872745173
1813.5,65.0,1639.3616924579328
1838.5,44.0,1690.2546442205255
1863.5,1131.0,1884.2977373711733
