BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-982.7124090443584
-986.5,63773187.0,-979.830105728808
-961.5,34992110.0,-949.1927954906596
-936.5,41905467.0,-932.5255685271708
-911.5,38080256.0,-915.3258084748103
-886.5,23771967.0,-899.2804075776315
-861.5,17979050.0,-884.3551112595461
-836.5,12931271.0,-868.6932086239808
-811.5,8962811.0,-851.4047937537808
-786.5,6153836.0,-832.1450008254697
-761.5,4301469.0,-810.1459463297109
-736.5,3137777.0,-785.2357487556102
-711.5,2407275.0,-757.9506111522056
-686.5,1939834.0,-729.4093263423601
-661.5,1624043.0,-700.7383023894026
-636.5,1404542.0,-672.6661795660028
-611.5,1239695.0,-645.1625247259108
-586.5,1116927.0,-618.4334344840607
-561.5,1023417.0,-591.7871359649887
-536.5,943062.0,-565.4825105727972
-511.5,882355.0,-538.1839168054148
-486.5,831351.0,-509.9298423249382
-461.5,797400.0,-480.3160059862828
-436.5,779854.0,-448.3190615342055
-411.5,781389.0,-413.4796865322972
-386.5,809733.0,-374.5638547751723
-361.5,875953.0,-332.74795766127085
-336.5,995447.0,-288.73841534791353
-311.5,1204919.0,-245.40456530524847
-286.5,1555477.0,-206.5049753868379
-261.5,2132879.0,-175.18958654712202
-236.5,3062338.0,-151.95291921358418
-211.5,4509843.0,-135.65756444050007
-186.5,6626563.0,-123.87901311198645
-161.5,9449163.0,-114.45855572993406
-136.5,15690863.0,-108.39027651227302
-111.5,32972315.0,-102.91372755884842
-86.5,29782682.0,-85.72452264294887
-61.5,22497902.0,-61.52906486447742
-36.5,21385066.0,-37.65520037266125
-11.5,22037069.0,-14.222996911322202
13.5,23720463.0,7.51285853363047
38.5,26446250.0,27.434531410022483
63.5,23003218.0,42.01747808712999
88.5,16255628.0,55.468422344981185
113.5,12750198.0,71.99254890539115
138.5,8213242.0,85.22252276306833
163.5,5789757.0,108.1970096182315
188.5,4161909.0,135.75618698147164
213.5,2918187.0,165.29278507979353
238.5,2167580.0,198.84207971656804
263.5,1717158.0,234.1507806249466
288.5,1427374.0,268.1641594412782
313.5,1215060.0,299.65816995244836
338.5,1040238.0,328.80277003560843
363.5,889650.0,356.60386334715275
388.5,763529.0,383.6619562964885
413.5,660387.0,410.6043227176127
438.5,575677.0,437.0922302723516
463.5,502491.0,464.0068954621154
488.5,448281.0,490.113088311777
513.5,404719.0,516.8544459186293
538.5,367554.0,542.47955137842
563.5,335258.0,567.9548763302022
588.5,306823.0,593.1832780058626
613.5,282023.0,618.3994603199127
638.5,260259.0,643.9544488629258
663.5,237504.0,667.7439761795274
688.5,219030.0,692.6949921773122
713.5,203713.0,717.0778479465371
738.5,187653.0,741.1188172075935
763.5,174636.0,766.0284023494174
788.5,162293.0,790.844666087703
813.5,150501.0,815.1380143863604
838.5,139620.0,839.8897496792704
863.5,129132.0,863.6649268570138
888.5,120565.0,886.9410871601369
913.5,112535.0,911.7663772014201
938.5,104543.0,935.8201909924979
963.5,96847.0,960.5871573510642
988.5,90013.0,983.9777893152522
1013.5,84059.0,1007.9334541284223
1038.5,77531.0,1032.5205738694315
1063.5,71673.0,1056.2330633517415
1088.5,65934.0,1079.5063488374442
1113.5,60569.0,1104.2416236979598
1138.5,54945.0,1128.0843790878946
1163.5,49769.0,1152.2258172061565
1188.5,44958.0,1176.3351721046415
1213.5,40395.0,1199.1245301645276
1238.5,35524.0,1221.8447739899984
1263.5,31649.0,1245.4821597009538
1288.5,27130.0,1268.4023479344964
1313.5,23303.0,1291.5152866311305
1338.5,19604.0,1312.828190412601
1363.5,16647.0,1337.850686566496
1388.5,14391.0,1358.895807262657
1413.5,12232.0,1386.2624665703784
1438.5,10415.0,1409.5498617317833
1463.5,8728.0,1433.8268725764958
1488.5,7482.0,1461.4785490711563
1513.5,5830.0,1487.179840810262
1538.5,4541.0,1510.8730892138553
1563.5,3215.0,1533.3625142763415
1588.5,2168.0,1555.5348032708537
1613.5,1414.0,1569.7119427239877
1638.5,1030.0,1597.3940368059768
1663.5,808.0,1626.3220492825649
1688.5,678.0,1656.7217986970525
1713.5,496.0,1683.4431602724137
1738.5,368.0,1722.0499201235564
1763.5,194.0,1680.9883466897552
1788.5,123.0,1693.3373507367887
1813.5,65.0,1679.411367563101
1838.5,44.0,1728.8283663662996
1863.5,1131.0,1887.8745678430316
