BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-980.240594299773
-986.5,63773187.0,-977.7630456769627
-961.5,34992110.0,-946.7684514017234
-936.5,41905467.0,-930.4507489071062
-911.5,38080256.0,-913.3648779055814
-886.5,23771967.0,-897.1909851287074
-861.5,17979050.0,-882.2920191129151
-836.5,12931271.0,-866.6266516487892
-811.5,8962811.0,-849.3062616070055
-786.5,6153836.0,-829.9888572959547
-761.5,4301469.0,-807.917571873624
-736.5,3137777.0,-782.924799004797
-711.5,2407275.0,-755.5433965126148
-686.5,1939834.0,-726.8698596003717
-661.5,1624043.0,-698.028798122439
-636.5,1404542.0,-669.7661770077827
-611.5,1239695.0,-642.0706401957622
-586.5,1116927.0,-615.1670066443784
-561.5,1023417.0,-588.377146619632
-536.5,943062.0,-561.9748051834897
-511.5,882355.0,-534.6417501361767
-486.5,831351.0,-506.42166159746057
-461.5,797400.0,-476.8982928053466
-436.5,779854.0,-445.0153479810942
-411.5,781389.0,-410.252464659066
-386.5,809733.0,-371.3060276558242
-361.5,875953.0,-329.28318012807426
-336.5,995447.0,-284.8685985310528
-311.5,1204919.0,-240.9833224595785
-286.5,1555477.0,-201.53249572806604
-261.5,2132879.0,-169.81383238699968
-236.5,3062338.0,-146.40924173223613
-211.5,4509843.0,-130.1721765292571
-186.5,6626563.0,-118.61266616754634
-161.5,9449163.0,-109.46826206657786
-136.5,15690863.0,-104.09339323192272
-111.5,32972315.0,-99.51348660231336
-86.5,29782682.0,-82.14245000428531
-61.5,22497902.0,-57.48247771501308
-36.5,21385066.0,-33.54698857648544
-11.5,22037069.0,-10.289072980249415
13.5,23720463.0,11.079583354341986
38.5,26446250.0,30.4249031060268
63.5,23003218.0,44.925789733055424
88.5,16255628.0,58.70080404904567
113.5,12750198.0,74.99816178336701
138.5,8213242.0,88.43316428829058
163.5,5789757.0,111.18562648069745
188.5,4161909.0,138.50244843741322
213.5,2918187.0,167.88687729277697
238.5,2167580.0,201.10391336419798
263.5,1717158.0,236.05792568972888
288.5,1427374.0,269.72960434286114
313.5,1215060.0,300.90703948140253
338.5,1040238.0,329.78778439025007
363.5,889650.0,357.38290255095325
388.5,763529.0,384.27425354086
413.5,660387.0,411.08378641691957
438.5,575677.0,437.4714296490127
463.5,502491.0,464.3083813674162
488.5,448281.0,490.35240567631
513.5,404719.0,517.0380698876814
538.5,367554.0,542.6225486977099
563.5,335258.0,568.0528454033558
588.5,306823.0,593.245781439529
613.5,282023.0,618.4276270516996
638.5,260259.0,643.9438560031786
663.5,237504.0,667.6795187854792
688.5,219030.0,692.5825350682823
713.5,203713.0,716.9372889660629
738.5,187653.0,740.9396980618503
763.5,174636.0,765.8204183287314
788.5,162293.0,790.6014502055118
813.5,150501.0,814.8705604806638
838.5,139620.0,839.5999313732628
863.5,129132.0,863.3519410406706
888.5,120565.0,886.6021661990267
913.5,112535.0,911.3941165504586
938.5,104543.0,935.4168657939393
963.5,96847.0,960.1499055112482
988.5,90013.0,983.5019089778666
1013.5,84059.0,1007.4170065511905
1038.5,77531.0,1031.9642678407783
1063.5,71673.0,1055.6387585554303
1088.5,65934.0,1078.863097403045
1113.5,60569.0,1103.5417749967044
1138.5,54945.0,1127.3308719163945
1163.5,49769.0,1151.421132865283
1188.5,44958.0,1175.459801296857
1213.5,40395.0,1198.1710298425123
1238.5,35524.0,1220.8092618619467
1263.5,31649.0,1244.351827013319
1288.5,27130.0,1267.1179457802637
1313.5,23303.0,1290.0711374371645
1338.5,19604.0,1311.1717906579074
1363.5,16647.0,1336.0133183719288
1388.5,14391.0,1356.7546466919903
1413.5,12232.0,1383.7103497422233
1438.5,10415.0,1406.5680453911689
1463.5,8728.0,1430.3095407180017
1488.5,7482.0,1457.306968674689
1513.5,5830.0,1482.4492096837143
1538.5,4541.0,1505.465972194743
1563.5,3215.0,1527.2483243144318
1588.5,2168.0,1548.5210788065217
1613.5,1414.0,1561.7268290000386
1638.5,1030.0,1588.4879022394568
1663.5,808.0,1615.9374441014659
1688.5,678.0,1645.4886652853636
1713.5,496.0,1671.637247393208
1738.5,368.0,1709.2856757122538
1763.5,194.0,1671.371430387202
1788.5,123.0,1687.1248928163109
1813.5,65.0,1674.1554124098557
1838.5,44.0,1724.7162947221236
1863.5,1131.0,1887.38682743683
