BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.1379274041233
-986.5,63773187.0,-984.4225463871197
-961.5,34992110.0,-956.6394744400816
-936.5,41905467.0,-937.8009132824542
-911.5,38080256.0,-920.0202971165228
-886.5,23771967.0,-904.8913681533862
-861.5,17979050.0,-889.354385583407
-836.5,12931271.0,-872.8232274780194
-811.5,8962811.0,-854.4810594956872
-786.5,6153836.0,-834.0080351626698
-761.5,4301469.0,-810.6717069295503
-736.5,3137777.0,-784.3821673198819
-711.5,2407275.0,-755.7367061209184
-686.5,1939834.0,-725.8222938358182
-661.5,1624043.0,-695.787459133565
-636.5,1404542.0,-666.3498698184555
-611.5,1239695.0,-637.4630196629588
-586.5,1116927.0,-609.3913554308622
-561.5,1023417.0,-581.3718191384564
-536.5,943062.0,-553.7343545409109
-511.5,882355.0,-525.0960462499969
-486.5,831351.0,-495.3913877418517
-461.5,797400.0,-464.38802017162163
-436.5,779854.0,-430.9852976373923
-411.5,781389.0,-394.72915809045816
-386.5,809733.0,-354.39557246627464
-361.5,875953.0,-311.3342499993411
-336.5,995447.0,-266.29452032285616
-311.5,1204919.0,-222.31192823026421
-286.5,1555477.0,-183.28338168076127
-261.5,2132879.0,-152.32359893075537
-236.5,3062338.0,-129.90835777621726
-211.5,4509843.0,-114.72534020228618
-186.5,6626563.0,-104.28391964562944
-161.5,9449163.0,-96.36995811842901
-136.5,15690863.0,-94.48698401750701
-111.5,32972315.0,-94.62970240715953
-86.5,29782682.0,-77.56020346880935
-61.5,22497902.0,-53.07860907319432
-36.5,21385066.0,-31.233915453296497
-11.5,22037069.0,-10.444200261353501
13.5,23720463.0,8.862312223897822
38.5,26446250.0,26.961006887622798
63.5,23003218.0,40.32481230823923
88.5,16255628.0,52.37343327774613
113.5,12750198.0,67.82560140635348
138.5,8213242.0,79.37267975540637
163.5,5789757.0,100.65733009338051
188.5,4161909.0,126.06562458928983
213.5,2918187.0,152.5355092754068
238.5,2167580.0,182.80728494306987
263.5,1717158.0,214.86974679538142
288.5,1427374.0,246.07685329870841
313.5,1215060.0,275.41127070540796
338.5,1040238.0,302.89909871548355
363.5,889650.0,329.20009582454355
388.5,763529.0,355.0121559134703
413.5,660387.0,380.87618290808877
438.5,575677.0,406.34061214090445
463.5,502491.0,432.0762746683037
488.5,448281.0,457.30057722804173
513.5,404719.0,483.2180014299792
538.5,367554.0,508.17284883799203
563.5,335258.0,532.8526355454466
588.5,306823.0,557.2785397880573
613.5,282023.0,581.8037063734382
638.5,260259.0,606.5300578997392
663.5,237504.0,629.3709924035367
688.5,219030.0,653.5232098541657
713.5,203713.0,677.3045617956759
738.5,187653.0,700.5843032505397
763.5,174636.0,724.905272003854
788.5,162293.0,749.156108416023
813.5,150501.0,772.9227231202407
838.5,139620.0,797.1509647510912
863.5,129132.0,820.4872302066673
888.5,120565.0,843.4368346922441
913.5,112535.0,867.7735277182429
938.5,104543.0,891.4631442627591
963.5,96847.0,915.8272394882622
988.5,90013.0,938.9084692106974
1013.5,84059.0,962.6541617900889
1038.5,77531.0,987.0417437391222
1063.5,71673.0,1010.3534027415119
1088.5,65934.0,1033.3134769883225
1113.5,60569.0,1057.6916599214164
1138.5,54945.0,1081.5017985959148
1163.5,49769.0,1105.5320188168264
1188.5,44958.0,1129.8757674779229
1213.5,40395.0,1153.0108674701096
1238.5,35524.0,1176.3589918069804
1263.5,31649.0,1200.4198458225997
1288.5,27130.0,1224.218542080017
1313.5,23303.0,1248.2104010412336
1338.5,19604.0,1270.8028206224953
1363.5,16647.0,1296.9896893226585
1388.5,14391.0,1320.8488184838968
1413.5,12232.0,1351.8064038293512
1438.5,10415.0,1378.1379151328274
1463.5,8728.0,1404.9837688582409
1488.5,7482.0,1435.3702410524843
1513.5,5830.0,1462.5599346599283
1538.5,4541.0,1487.666608799084
1563.5,3215.0,1510.1000620793036
1588.5,2168.0,1532.535607763762
1613.5,1414.0,1546.3352770771637
1638.5,1030.0,1574.1104054867642
1663.5,808.0,1606.0672492603264
1688.5,678.0,1637.0030222304804
1713.5,496.0,1663.6589535128685
1738.5,368.0,1704.504867553711
1763.5,194.0,1651.482662869483
1788.5,123.0,1653.3238892594004
1813.5,65.0,1639.3616999699518
1838.5,44.0,1690.2546553178267
1863.5,1131.0,1884.29773629186
