BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.4444495909728
-986.5,63773187.0,-984.7587372628346
-961.5,34992110.0,-956.9217558823742
-936.5,41905467.0,-938.115052007334
-911.5,38080256.0,-920.3414049484508
-886.5,23771967.0,-905.1783936502878
-861.5,17979050.0,-889.6422481083798
-836.5,12931271.0,-873.1165007595206
-811.5,8962811.0,-854.7857004936737
-786.5,6153836.0,-834.3288791988847
-761.5,4301469.0,-811.0103070471617
-736.5,3137777.0,-784.7367804885732
-711.5,2407275.0,-756.1037535800497
-686.5,1939834.0,-726.1981996997147
-661.5,1624043.0,-696.1673591597031
-636.5,1404542.0,-666.7302580991395
-611.5,1239695.0,-637.8414140211946
-586.5,1116927.0,-609.7644916153124
-561.5,1023417.0,-581.7353391991202
-536.5,943062.0,-554.0840721713096
-511.5,882355.0,-525.4255257299989
-486.5,831351.0,-495.69350384104354
-461.5,797400.0,-464.6528756643448
-436.5,779854.0,-431.19898824663375
-411.5,781389.0,-394.8740773490018
-386.5,809733.0,-354.4474080528018
-361.5,875953.0,-311.27102610668106
-336.5,995447.0,-266.0950026593517
-311.5,1204919.0,-221.9679121071478
-286.5,1555477.0,-182.80386519239505
-261.5,2132879.0,-151.7371080718355
-236.5,3062338.0,-129.25025112395437
-211.5,4509843.0,-114.02879389770504
-186.5,6626563.0,-103.57196499065542
-161.5,9449163.0,-95.65210830878557
-136.5,15690863.0,-93.78701289372611
-111.5,32972315.0,-93.99898102992628
-86.5,29782682.0,-76.88002900160907
-61.5,22497902.0,-52.272170052588514
-36.5,21385066.0,-30.336999972820593
-11.5,22037069.0,-9.473671396449646
13.5,23720463.0,9.896077512341286
38.5,26446250.0,28.045896914675016
63.5,23003218.0,41.46376993889401
88.5,16255628.0,53.60622976194311
113.5,12750198.0,69.10999032206875
138.5,8213242.0,80.74280746469165
163.5,5789757.0,102.11903551691118
188.5,4161909.0,127.654722062982
213.5,2918187.0,154.28443145824372
238.5,2167580.0,184.69094358508326
263.5,1717158.0,216.90425250623989
288.5,1427374.0,248.26783457182628
313.5,1215060.0,277.74839674660325
338.5,1040238.0,305.37500104739354
363.5,889650.0,331.8165360595964
388.5,763529.0,357.7708351115859
413.5,660387.0,383.7793401293891
438.5,575677.0,409.3911110361013
463.5,502491.0,435.2820293820114
488.5,448281.0,460.6555111388677
513.5,404719.0,486.72452450015135
538.5,367554.0,511.8255389975502
563.5,335258.0,536.6498795106834
588.5,306823.0,561.2206240830374
613.5,282023.0,585.890108492076
638.5,260259.0,610.7627284579582
663.5,237504.0,633.7384088182667
688.5,219030.0,658.0316024225041
713.5,203713.0,681.9522949868312
738.5,187653.0,705.3713262425778
763.5,174636.0,729.8336099892744
788.5,162293.0,754.2245049661578
813.5,150501.0,778.1293905662217
838.5,139620.0,802.4991854215348
863.5,129132.0,825.9694712251011
888.5,120565.0,849.0478563282692
913.5,112535.0,873.5216513803344
938.5,104543.0,897.3434402329934
963.5,96847.0,921.8416850779441
988.5,90013.0,945.0474980246994
1013.5,84059.0,968.918545252279
1038.5,77531.0,993.4339682143146
1063.5,71673.0,1016.8681678256236
1088.5,65934.0,1039.9478236615078
1113.5,60569.0,1064.445947630814
1138.5,54945.0,1088.3705153317824
1163.5,49769.0,1112.5182681586587
1188.5,44958.0,1136.9723445156344
1213.5,40395.0,1160.213972038933
1238.5,35524.0,1183.663803672726
1263.5,31649.0,1207.8357060682024
1288.5,27130.0,1231.7324745456626
1313.5,23303.0,1255.8218071135473
1338.5,19604.0,1278.507772710707
1363.5,16647.0,1304.8090036795177
1388.5,14391.0,1328.767600866332
1413.5,12232.0,1359.861222610823
1438.5,10415.0,1386.3116441013374
1463.5,8728.0,1413.2628850473602
1488.5,7482.0,1443.7688297291104
1513.5,5830.0,1471.0605919342304
1538.5,4541.0,1496.2660676628134
1563.5,3215.0,1518.7655306470524
1588.5,2168.0,1541.223435912185
1613.5,1414.0,1555.0111102976928
1638.5,1030.0,1582.8916572644873
1663.5,808.0,1614.85261248598
1688.5,678.0,1645.9048242259519
1713.5,496.0,1672.6435603480186
1738.5,368.0,1713.4820573226266
1763.5,194.0,1660.4308761124757
1788.5,123.0,1662.392427273882
1813.5,65.0,1647.8532264122596
1838.5,44.0,1698.2809032093394
1863.5,1131.0,1885.1352760321688
