BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.1379274032629
-986.5,63773187.0,-984.4225463890492
-961.5,34992110.0,-956.6394744401426
-936.5,41905467.0,-937.8009132723024
-911.5,38080256.0,-920.0202971211453
-886.5,23771967.0,-904.8913681496633
-861.5,17979050.0,-889.3543855787832
-836.5,12931271.0,-872.8232274797374
-811.5,8962811.0,-854.4810594887275
-786.5,6153836.0,-834.0080351588017
-761.5,4301469.0,-810.6717069228246
-736.5,3137777.0,-784.3821673288686
-711.5,2407275.0,-755.7367061066439
-686.5,1939834.0,-725.8222937830528
-661.5,1624043.0,-695.7874591619396
-636.5,1404542.0,-666.3498698408351
-611.5,1239695.0,-637.4630196880682
-586.5,1116927.0,-609.3913554306437
-561.5,1023417.0,-581.3718191378005
-536.5,943062.0,-553.7343545686111
-511.5,882355.0,-525.0960462754525
-486.5,831351.0,-495.39138772760884
-461.5,797400.0,-464.38802017583146
-436.5,779854.0,-430.98529770759586
-411.5,781389.0,-394.72915809514484
-386.5,809733.0,-354.3955724584355
-361.5,875953.0,-311.33425005842855
-336.5,995447.0,-266.2945203538812
-311.5,1204919.0,-222.3119281564599
-286.5,1555477.0,-183.28338174385738
-261.5,2132879.0,-152.32359887695668
-236.5,3062338.0,-129.90835773133284
-211.5,4509843.0,-114.72534021863497
-186.5,6626563.0,-104.28391964363993
-161.5,9449163.0,-96.36995812353187
-136.5,15690863.0,-94.48698402033493
-111.5,32972315.0,-94.62970240017717
-86.5,29782682.0,-77.56020346644235
-61.5,22497902.0,-53.078609058842936
-36.5,21385066.0,-31.233915469065412
-11.5,22037069.0,-10.444200252831262
13.5,23720463.0,8.862312225529168
38.5,26446250.0,26.961006885499536
63.5,23003218.0,40.32481231412697
88.5,16255628.0,52.37343328561225
113.5,12750198.0,67.82560140854594
138.5,8213242.0,79.37267974495795
163.5,5789757.0,100.65733011482277
188.5,4161909.0,126.06562459294146
213.5,2918187.0,152.53550927072175
238.5,2167580.0,182.80728501157878
263.5,1717158.0,214.86974676989618
288.5,1427374.0,246.07685329190952
313.5,1215060.0,275.4112707131437
338.5,1040238.0,302.89909867969226
363.5,889650.0,329.20009588807255
388.5,763529.0,355.01215597462306
413.5,660387.0,380.8761829685336
438.5,575677.0,406.3406120637195
463.5,502491.0,432.0762747153107
488.5,448281.0,457.30057723267095
513.5,404719.0,483.2180015458003
538.5,367554.0,508.17284881491
563.5,335258.0,532.8526356290095
588.5,306823.0,557.278539813321
613.5,282023.0,581.8037065268793
638.5,260259.0,606.5300580094931
663.5,237504.0,629.3709924868001
688.5,219030.0,653.5232098962435
713.5,203713.0,677.3045617477377
738.5,187653.0,700.5843035744941
763.5,174636.0,724.9052719451381
788.5,162293.0,749.1561084085014
813.5,150501.0,772.9227229316615
838.5,139620.0,797.1509651082445
863.5,129132.0,820.487230258187
888.5,120565.0,843.4368344755723
913.5,112535.0,867.773527798513
938.5,104543.0,891.4631443596745
963.5,96847.0,915.8272396414062
988.5,90013.0,938.9084691150894
1013.5,84059.0,962.6541618314766
1038.5,77531.0,987.0417437895054
1063.5,71673.0,1010.3534025422426
1088.5,65934.0,1033.3134770808924
1113.5,60569.0,1057.691659770262
1138.5,54945.0,1081.5017987314375
1163.5,49769.0,1105.5320183851445
1188.5,44958.0,1129.8757676679875
1213.5,40395.0,1153.0108675849424
1238.5,35524.0,1176.3589918585246
1263.5,31649.0,1200.4198458225997
1288.5,27130.0,1224.2185424984666
1313.5,23303.0,1248.2104006693075
1338.5,19604.0,1270.802822148063
1363.5,16647.0,1296.9896891979997
1388.5,14391.0,1320.8488179325402
1413.5,12232.0,1351.8064037295553
1438.5,10415.0,1378.137914581958
1463.5,8728.0,1404.983769096004
1488.5,7482.0,1435.3702415582554
1513.5,5830.0,1462.559934136471
1538.5,4541.0,1487.6666085302659
1563.5,3215.0,1510.1000629146215
1588.5,2168.0,1532.5356060182917
1613.5,1414.0,1546.3352775088126
1638.5,1030.0,1574.1104027609224
1663.5,808.0,1606.0672510732518
1688.5,678.0,1637.0030220504357
1713.5,496.0,1663.6589495751166
1738.5,368.0,1704.504867553711
1763.5,194.0,1651.4826622402545
1788.5,123.0,1653.323885289634
1813.5,65.0,1639.3617037259614
1838.5,44.0,1690.2546469948509
1863.5,1131.0,1884.2977373711733
