BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-990.36647695537
-986.5,63773187.0,-985.6562653727701
-961.5,34992110.0,-959.368132974861
-936.5,41905467.0,-939.9010174973841
-911.5,38080256.0,-922.1446811456316
-886.5,23771967.0,-907.9109485602789
-861.5,17979050.0,-892.1208981821945
-836.5,12931271.0,-875.1881868863217
-811.5,8962811.0,-856.359228154857
-786.5,6153836.0,-835.4017813094556
-761.5,4301469.0,-811.5719084428185
-736.5,3137777.0,-784.8867235719645
-711.5,2407275.0,-755.9276912634942
-686.5,1939834.0,-725.8437020607739
-661.5,1624043.0,-695.7649979623411
-636.5,1404542.0,-666.3137866057383
-611.5,1239695.0,-637.4504387514911
-586.5,1116927.0,-609.3841603193038
-561.5,1023417.0,-581.4181042904058
-536.5,943062.0,-553.7367301017409
-511.5,882355.0,-525.2473906799897
-486.5,831351.0,-495.607697029611
-461.5,797400.0,-464.8100344536339
-436.5,779854.0,-431.6912991991818
-411.5,781389.0,-395.7471216687533
-386.5,809733.0,-355.8445042953443
-361.5,875953.0,-313.1756907828927
-336.5,995447.0,-268.621880414079
-311.5,1204919.0,-225.11834756317896
-286.5,1555477.0,-186.433514264375
-261.5,2132879.0,-155.6097268860064
-236.5,3062338.0,-133.16461637149413
-211.5,4509843.0,-117.75697898692148
-186.5,6626563.0,-107.08016019843794
-161.5,9449163.0,-98.94010620947792
-136.5,15690863.0,-96.57913582795379
-111.5,32972315.0,-96.25013044882927
-86.5,29782682.0,-79.19431021204946
-61.5,22497902.0,-54.63602207907414
-36.5,21385066.0,-32.52920007109498
-11.5,22037069.0,-11.404606136841869
13.5,23720463.0,8.30649335089181
38.5,26446250.0,26.756921168687335
63.5,23003218.0,40.01387638748923
88.5,16255628.0,52.00856185845963
113.5,12750198.0,67.60185756374848
138.5,8213242.0,78.56251139818208
163.5,5789757.0,99.48740613627747
188.5,4161909.0,124.7417939785912
213.5,2918187.0,151.0381910762225
238.5,2167580.0,181.2082195823711
263.5,1717158.0,213.26102736862475
288.5,1427374.0,244.6134087114219
313.5,1215060.0,274.3419188723251
338.5,1040238.0,302.04472579032375
363.5,889650.0,328.6990636308295
388.5,763529.0,354.87965635445113
413.5,660387.0,381.22883726525555
438.5,575677.0,407.25272629797786
463.5,502491.0,433.57679122288056
488.5,448281.0,459.5049558240157
513.5,404719.0,486.18099591317764
538.5,367554.0,511.92134086541506
563.5,335258.0,537.1941884005236
588.5,306823.0,562.4263081195654
613.5,282023.0,587.5232548695711
638.5,260259.0,613.0661871494572
663.5,237504.0,636.7268722514135
688.5,219030.0,661.5568624314894
713.5,203713.0,686.2142914254746
738.5,187653.0,710.0346268122296
763.5,174636.0,735.1706296127894
788.5,162293.0,760.0187189201446
813.5,150501.0,784.381253942561
838.5,139620.0,809.2074189556993
863.5,129132.0,833.1822147138373
888.5,120565.0,856.5474453497798
913.5,112535.0,881.4129242110137
938.5,104543.0,905.6443380460541
963.5,96847.0,930.1373969752628
988.5,90013.0,953.5387977121295
1013.5,84059.0,977.5018994735445
1038.5,77531.0,1002.0208790129361
1063.5,71673.0,1025.5077997212193
1088.5,65934.0,1047.9751853571433
1113.5,60569.0,1072.0808899493113
1138.5,54945.0,1095.9303865055574
1163.5,49769.0,1119.6752863512631
1188.5,44958.0,1143.8866400741385
1213.5,40395.0,1166.4559601800868
1238.5,35524.0,1189.447319505827
1263.5,31649.0,1213.2357540582004
1288.5,27130.0,1236.2661833558186
1313.5,23303.0,1259.758636331863
1338.5,19604.0,1281.8219438298725
1363.5,16647.0,1307.9689893302614
1388.5,14391.0,1331.7025570519877
1413.5,12232.0,1362.6004856725858
1438.5,10415.0,1388.8249433659385
1463.5,8728.0,1415.3761088566207
1488.5,7482.0,1446.3181290533478
1513.5,5830.0,1473.5584265576424
1538.5,4541.0,1498.312842554942
1563.5,3215.0,1522.2137899965371
1588.5,2168.0,1544.032458878971
1613.5,1414.0,1559.1386609974475
1638.5,1030.0,1587.6300379484603
1663.5,808.0,1620.483898049534
1688.5,678.0,1652.2456717252028
1713.5,496.0,1680.1151649721207
1738.5,368.0,1717.8038947063944
1763.5,194.0,1672.952529120691
1788.5,123.0,1672.335691374492
1813.5,65.0,1673.3293137770434
1838.5,44.0,1709.6262567693536
1863.5,1131.0,1886.2048358192073
