PatientID,BodyType,NumSlices,Threshold_HU,NumPixels,MeanCorrectionAt130_HU,MinCorrectionAt130_HU,MaxCorrectionAt130_HU,FlipUp_Count,FlipUp_pct,FlipUp_MeanDistance_HU,FlipUp_Within1HU_pct,FlipUp_Within2HU_pct,FlipUp_Within5HU_pct,FlipUp_Within10HU_pct,FlipUp_Within20HU_pct,FlipDown_Count,FlipDown_pct,FlipDown_MeanDistance_HU,FlipDown_Within1HU_pct,FlipDown_Within2HU_pct,FlipDown_Within5HU_pct,FlipDown_Within10HU_pct,FlipDown_Within20HU_pct,NewDisagree_Count,NewDisagree_pct,NewDisagree_MeanDistance_HU,NewDisagree_Within1HU_pct,NewDisagree_Within2HU_pct,NewDisagree_Within5HU_pct,NewDisagree_Within10HU_pct,NewDisagree_Within20HU_pct,ResolvedDisagree_Count,ResolvedDisagree_pct,ResolvedDisagree_MeanDistance_HU,ResolvedDisagree_Within1HU_pct,ResolvedDisagree_Within2HU_pct,ResolvedDisagree_Within5HU_pct,ResolvedDisagree_Within10HU_pct,ResolvedDisagree_Within20HU_pct
C121,Chest,392,130.0,102760448,5.10390257713746,3.8871688842773438,6.5705037117004395,67789,0.06596798799475845,2.589451019575678,19.212556609479414,38.844060245762584,93.65383764327545,100.0,100.0,0,0.0,,,,,,,36257,0.03528303029585858,2.6193725373828673,18.597788013349145,38.0147281904184,93.58468709490582,100.0,100.0,31532,0.03068495769889987,2.5550458289396487,19.919446911074463,39.79766586325003,93.73335024736775,100.0,100.0
C135,Chest,355,130.0,93061120,5.949746917670881,5.1452250480651855,7.714634418487549,88800,0.09542115977112677,2.9381211660574147,17.146396396396398,34.244369369369366,87.0213963963964,100.0,100.0,0,0.0,,,,,,,44680,0.04801145741637324,2.9737819442817326,16.67636526410027,33.630259623992835,86.49059982094897,100.0,100.0,44120,0.04740970235475352,2.9020077578284367,17.62239347234814,34.86627379873073,87.55893019038984,100.0,100.0
C170,Chest,359,130.0,94109696,5.396517780165818,3.9071056842803955,6.65061616897583,87634,0.09311899169241818,2.7876348453912367,17.843531049592624,36.10584932788644,90.18759842070429,100.0,100.0,0,0.0,,,,,,,45355,0.04819375890875261,2.837884135935433,17.11387939587697,34.98181016425973,89.73872781391246,100.0,100.0,42279,0.044925232783665565,2.7337296779882228,18.626268360178813,37.31166773102486,90.66912651671042,100.0,100.0
C249,Chest,350,130.0,91750400,4.801240565436227,4.123701095581055,6.211000919342041,43015,0.04688262939453125,2.4311970541480807,20.65093572009764,41.69940718354063,95.58061141462281,100.0,100.0,0,0.0,,,,,,,21979,0.023955208914620534,2.46959090166679,20.292097001683427,40.69793894171709,95.26821056462987,100.0,100.0,21036,0.022927420479910716,2.3910820905326733,21.025860429739495,42.745769157634534,95.90701654306902,100.0,100.0
C280,Chest,369,130.0,96731136,6.9613231682195895,4.947403907775879,8.325713157653809,95761,0.09899707990610179,3.4931605021530654,14.18427125865436,28.558599012123935,72.5211725023757,100.0,100.0,0,0.0,,,,,,,50325,0.052025647667365345,3.5393935561428838,13.7625434674615,27.83705911574764,71.76949826130154,100.0,100.0,45436,0.04697143223873645,3.441952683638284,14.651377762126948,29.357777973413153,73.35372832115503,100.0,100.0
L006,Abdomen,215,130.0,56360960,2.6451147755911184,2.2472078800201416,3.0046474933624268,50435,0.08948570074037064,1.3169663962587985,37.51164865668682,76.76018637850699,100.0,100.0,100.0,0,0.0,,,,,,,28327,0.050259967182957846,1.350699277115528,35.40438450947859,75.49687577223143,100.0,100.0,100.0,22108,0.03922573355741279,1.2737444261109525,40.21168807671431,78.37886737832459,100.0,100.0,100.0
L107,Abdomen,202,130.0,52953088,4.012148224481262,3.257901191711426,4.621143817901611,74213,0.1401485783038753,2.0471380730128144,23.991753466373815,49.012976163205906,100.0,100.0,100.0,0,0.0,,,,,,,39588,0.07476051255027846,2.104368840611028,22.50429423057492,46.99656461554006,100.0,100.0,100.0,34625,0.06538806575359685,1.9817040945115072,25.692418772563176,51.31841155234657,100.0,100.0,100.0
L220,Abdomen,156,130.0,40894464,3.415133665769528,2.6914031505584717,3.855975389480591,77728,0.19006973657852563,1.8533275552422188,26.265953067105805,53.378447920955125,100.0,100.0,100.0,0,0.0,,,,,,,43879,0.10729814187074319,1.9369166419478852,23.578477175870006,50.0193714533148,100.0,100.0,100.0,33849,0.08277159470778245,1.7449696782089668,29.749771041980562,57.73287246299743,100.0,100.0,100.0
L221,Abdomen,99,130.0,25952256,3.53005735801928,3.1186723709106445,3.820329427719116,37221,0.14342105749881628,1.787882424666603,27.761210069584376,56.062437871094275,100.0,100.0,100.0,0,0.0,,,,,,,18016,0.06941978377525253,1.8589682909354013,25.488454706927175,53.113898756660745,100.0,100.0,100.0,19205,0.07400127372356376,1.7211975526697962,29.893256964332206,58.82843009632908,100.0,100.0,100.0
L241,Abdomen,155,130.0,40632320,4.93634619866648,3.385793924331665,5.753122806549072,100409,0.2471160888671875,2.589982340878152,19.193498590763777,38.41488312800645,95.7842424483861,100.0,100.0,0,0.0,,,,,,,54428,0.13395247920866934,2.6753995773013775,17.593885500110236,35.94289703828912,95.43984713750275,100.0,100.0,45981,0.11316360965851814,2.4888734161893975,21.086970705291314,41.34098866923294,96.1919053522107,100.0,100.0
