PatientID,BodyType,NumSlices,Threshold_HU,NumPixels,MeanCorrectionAt130_HU,MinCorrectionAt130_HU,MaxCorrectionAt130_HU,FlipUp_Count,FlipUp_pct,FlipUp_MeanDistance_HU,FlipUp_Within1HU_pct,FlipUp_Within2HU_pct,FlipUp_Within5HU_pct,FlipUp_Within10HU_pct,FlipUp_Within20HU_pct,FlipDown_Count,FlipDown_pct,FlipDown_MeanDistance_HU,FlipDown_Within1HU_pct,FlipDown_Within2HU_pct,FlipDown_Within5HU_pct,FlipDown_Within10HU_pct,FlipDown_Within20HU_pct,NewDisagree_Count,NewDisagree_pct,NewDisagree_MeanDistance_HU,NewDisagree_Within1HU_pct,NewDisagree_Within2HU_pct,NewDisagree_Within5HU_pct,NewDisagree_Within10HU_pct,NewDisagree_Within20HU_pct,ResolvedDisagree_Count,ResolvedDisagree_pct,ResolvedDisagree_MeanDistance_HU,ResolvedDisagree_Within1HU_pct,ResolvedDisagree_Within2HU_pct,ResolvedDisagree_Within5HU_pct,ResolvedDisagree_Within10HU_pct,ResolvedDisagree_Within20HU_pct
C121,Chest,392,130.0,102760448,-0.0027087755846952524,-0.008864647708833218,-0.0006878413842059672,0,0.0,,,,,,,36,3.503293407206633e-05,0.0016411675347222222,100.0,100.0,100.0,100.0,100.0,20,1.946274115114796e-05,0.001629638671875,100.0,100.0,100.0,100.0,100.0,16,1.5570192920918368e-05,0.00165557861328125,100.0,100.0,100.0,100.0,100.0
C135,Chest,355,130.0,93061120,-0.002752099959114173,-0.003709129523485899,-0.0010057511972263455,0,0.0,,,,,,,48,5.157900528169014e-05,0.0015691121419270833,100.0,100.0,100.0,100.0,100.0,31,3.331144091109155e-05,0.0017050466229838709,100.0,100.0,100.0,100.0,100.0,17,1.826756437059859e-05,0.001321231617647059,100.0,100.0,100.0,100.0,100.0
C170,Chest,359,130.0,94109696,-0.0023704240196527173,-0.0036258064210414886,-0.0012374176876619458,0,0.0,,,,,,,39,4.144100093575905e-05,0.0009296123798076923,100.0,100.0,100.0,100.0,100.0,20,2.125179535167131e-05,0.0009765625,100.0,100.0,100.0,100.0,100.0,19,2.0189205584087744e-05,0.0008801912006578947,100.0,100.0,100.0,100.0,100.0
C249,Chest,350,130.0,91750400,-0.003128934584424964,-0.003967474214732647,-0.0020742728374898434,0,0.0,,,,,,,25,2.7247837611607144e-05,0.0014013671875,100.0,100.0,100.0,100.0,100.0,12,1.3078962053571428e-05,0.0014241536458333333,100.0,100.0,100.0,100.0,100.0,13,1.4168875558035715e-05,0.0013803335336538462,100.0,100.0,100.0,100.0,100.0
C280,Chest,369,130.0,96731136,-0.0013254481454708636,-0.003211150411516428,0.0011723589850589633,0,0.0,,,,,,,24,2.481103912601626e-05,0.0010579427083333333,100.0,100.0,100.0,100.0,100.0,8,8.270346375338753e-06,0.00140380859375,100.0,100.0,100.0,100.0,100.0,16,1.6540692750677505e-05,0.000885009765625,100.0,100.0,100.0,100.0,100.0
L006,Abdomen,215,130.0,56360960,-0.003161061012056158,-0.005101416725665331,-0.001492384704761207,0,0.0,,,,,,,59,0.00010468239007994186,0.0018000198622881356,100.0,100.0,100.0,100.0,100.0,31,5.500261173691861e-05,0.002039755544354839,100.0,100.0,100.0,100.0,100.0,28,4.9679778343023256e-05,0.0015345982142857143,100.0,100.0,100.0,100.0,100.0
L107,Abdomen,202,130.0,52953088,-0.0028298098909770057,-0.004140961915254593,-0.0019201702671125531,0,0.0,,,,,,,60,0.00011330783957301981,0.0014485677083333334,100.0,100.0,100.0,100.0,100.0,27,5.098852780785891e-05,0.001338252314814815,100.0,100.0,100.0,100.0,100.0,33,6.231931176516089e-05,0.0015388257575757575,100.0,100.0,100.0,100.0,100.0
L220,Abdomen,156,130.0,40894464,-0.002651493346396213,-0.004152924753725529,-0.001841143355704844,0,0.0,,,,,,,59,0.0001442738068409455,0.0015082925052966102,100.0,100.0,100.0,100.0,100.0,28,6.846892528044872e-05,0.001434326171875,100.0,100.0,100.0,100.0,100.0,31,7.58048815604968e-05,0.0015751008064516128,100.0,100.0,100.0,100.0,100.0
L221,Abdomen,99,130.0,25952256,-0.002781376110935452,-0.003511453978717327,-0.0021831553895026445,0,0.0,,,,,,,31,0.00011945011639835858,0.0015081590221774194,100.0,100.0,100.0,100.0,100.0,18,6.935813210227273e-05,0.0013427734375,100.0,100.0,100.0,100.0,100.0,13,5.009198429608586e-05,0.0017371544471153845,100.0,100.0,100.0,100.0,100.0
L241,Abdomen,155,130.0,40632320,-0.0032695598449678192,-0.004120892845094204,-0.002449125749990344,0,0.0,,,,,,,71,0.0001747377457157258,0.0017072650748239436,100.0,100.0,100.0,100.0,100.0,29,7.137175529233871e-05,0.0016879377693965517,100.0,100.0,100.0,100.0,100.0,42,0.0001033659904233871,0.001720610119047619,100.0,100.0,100.0,100.0,100.0
