BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.1379274073416
-986.5,63773187.0,-984.4225463915194
-961.5,34992110.0,-956.6394744370361
-936.5,41905467.0,-937.8009132819561
-911.5,38080256.0,-920.0202971129037
-886.5,23771967.0,-904.8913681524928
-861.5,17979050.0,-889.3543855770858
-836.5,12931271.0,-872.8232274672059
-811.5,8962811.0,-854.481059512882
-786.5,6153836.0,-834.008035165308
-761.5,4301469.0,-810.6717069137717
-736.5,3137777.0,-784.3821673286352
-711.5,2407275.0,-755.7367060811627
-686.5,1939834.0,-725.8222938226661
-661.5,1624043.0,-695.7874591398037
-636.5,1404542.0,-666.3498698119372
-611.5,1239695.0,-637.4630197170178
-586.5,1116927.0,-609.3913554404799
-561.5,1023417.0,-581.3718191141239
-536.5,943062.0,-553.7343545529488
-511.5,882355.0,-525.0960463029834
-486.5,831351.0,-495.391387716009
-461.5,797400.0,-464.38802018210794
-436.5,779854.0,-430.98529768654265
-411.5,781389.0,-394.7291581193593
-386.5,809733.0,-354.39557246016915
-361.5,875953.0,-311.33425008629996
-336.5,995447.0,-266.2945204096159
-311.5,1204919.0,-222.3119282194747
-286.5,1555477.0,-183.2833817013617
-261.5,2132879.0,-152.32359893158522
-236.5,3062338.0,-129.9083577305356
-211.5,4509843.0,-114.72534018676295
-186.5,6626563.0,-104.28391966331395
-161.5,9449163.0,-96.36995811253165
-136.5,15690863.0,-94.48698401233739
-111.5,32972315.0,-94.62970240159511
-86.5,29782682.0,-77.56020346599558
-61.5,22497902.0,-53.078609059461485
-36.5,21385066.0,-31.233915464490284
-11.5,22037069.0,-10.444200244779864
13.5,23720463.0,8.862312229311629
38.5,26446250.0,26.961006893323297
63.5,23003218.0,40.32481232398145
88.5,16255628.0,52.373433285274324
113.5,12750198.0,67.82560140574554
138.5,8213242.0,79.37267975077667
163.5,5789757.0,100.65733011436947
188.5,4161909.0,126.06562459673974
213.5,2918187.0,152.53550929694973
238.5,2167580.0,182.807284981534
263.5,1717158.0,214.86974678862802
288.5,1427374.0,246.07685325676042
313.5,1215060.0,275.41127069812427
338.5,1040238.0,302.8990987554994
363.5,889650.0,329.20009590035295
388.5,763529.0,355.01215588189467
413.5,660387.0,380.8761828794375
438.5,575677.0,406.34061207517004
463.5,502491.0,432.07627482086394
488.5,448281.0,457.3005772540471
513.5,404719.0,483.2180014809525
538.5,367554.0,508.1728487561256
563.5,335258.0,532.8526355711161
588.5,306823.0,557.2785397371322
613.5,282023.0,581.8037064881403
638.5,260259.0,606.5300580092586
663.5,237504.0,629.3709923909444
688.5,219030.0,653.5232100163465
713.5,203713.0,677.3045618295322
738.5,187653.0,700.5843031393024
763.5,174636.0,724.9052720744528
788.5,162293.0,749.1561082772495
813.5,150501.0,772.922723075225
838.5,139620.0,797.150965061032
863.5,129132.0,820.4872302681127
888.5,120565.0,843.4368343398992
913.5,112535.0,867.7735278375634
938.5,104543.0,891.4631444122191
963.5,96847.0,915.8272397101005
988.5,90013.0,938.9084694453097
1013.5,84059.0,962.6541617581406
1038.5,77531.0,987.0417440555909
1063.5,71673.0,1010.3534028658423
1088.5,65934.0,1033.3134770679326
1113.5,60569.0,1057.6916591192903
1138.5,54945.0,1081.501798622575
1163.5,49769.0,1105.5320188805974
1188.5,44958.0,1129.8757676462658
1213.5,40395.0,1153.0108674761534
1238.5,35524.0,1176.3589912159407
1263.5,31649.0,1200.4198463722225
1288.5,27130.0,1224.2185416660668
1313.5,23303.0,1248.2104006797845
1338.5,19604.0,1270.8028217869082
1363.5,16647.0,1296.9896886773658
1388.5,14391.0,1320.848818678992
1413.5,12232.0,1351.8064036696778
1438.5,10415.0,1378.1379154844462
1463.5,8728.0,1404.983768634464
1488.5,7482.0,1435.370242015081
1513.5,5830.0,1462.5599339899027
1538.5,4541.0,1487.6666084496205
1563.5,3215.0,1510.1000632943114
1588.5,2168.0,1532.535607313318
1613.5,1414.0,1546.3352767318445
1638.5,1030.0,1574.1104032349817
1663.5,808.0,1606.067250166789
1688.5,678.0,1637.0030227706145
1713.5,496.0,1663.6589515439925
1738.5,368.0,1704.504867553711
1763.5,194.0,1651.4826572064271
1788.5,123.0,1653.323885289634
1813.5,65.0,1639.3617018479567
1838.5,44.0,1690.2546553178267
1863.5,1131.0,1884.2977356442723
