BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-990.8607434815884
-986.5,63773187.0,-985.7192022062918
-961.5,34992110.0,-960.087348872546
-936.5,41905467.0,-940.135639220527
-911.5,38080256.0,-922.2926321865108
-886.5,23771967.0,-908.5132452691986
-861.5,17979050.0,-892.7041112722976
-836.5,12931271.0,-875.7010236769441
-811.5,8962811.0,-856.7822992066202
-786.5,6153836.0,-835.7206832602647
-761.5,4301469.0,-811.7709266208394
-736.5,3137777.0,-784.9504020341451
-711.5,2407275.0,-755.8515228189019
-686.5,1939834.0,-725.6372817539248
-661.5,1624043.0,-695.4545728642868
-636.5,1404542.0,-665.9191695344009
-611.5,1239695.0,-636.9936588200902
-586.5,1116927.0,-608.8845621155166
-561.5,1023417.0,-580.8903894906309
-536.5,943062.0,-553.1990074376582
-511.5,882355.0,-524.7214605884059
-486.5,831351.0,-495.1231001557971
-461.5,797400.0,-464.40323945239936
-436.5,779854.0,-431.41354991273994
-411.5,781389.0,-395.6664279442183
-386.5,809733.0,-356.05523014457145
-361.5,875953.0,-313.766306924976
-336.5,995447.0,-269.6813839773573
-311.5,1204919.0,-226.68515134525998
-286.5,1555477.0,-188.4819529365891
-261.5,2132879.0,-158.0413831558082
-236.5,3062338.0,-135.84511484639242
-211.5,4509843.0,-120.56217317503952
-186.5,6626563.0,-109.91943121324034
-161.5,9449163.0,-101.76323112443427
-136.5,15690863.0,-98.97636254077297
-111.5,32972315.0,-97.87866937685966
-86.5,29782682.0,-81.14998660603655
-61.5,22497902.0,-57.333234587866464
-36.5,21385066.0,-35.599952300447946
-11.5,22037069.0,-14.688878487491898
13.5,23720463.0,4.911075161908683
38.5,26446250.0,23.35725105275764
63.5,23003218.0,36.42512833588723
88.5,16255628.0,48.001156243302226
113.5,12750198.0,63.44719503547217
138.5,8213242.0,74.05540312997302
163.5,5789757.0,94.68648662460866
188.5,4161909.0,119.56621886901453
213.5,2918187.0,145.3763491539007
238.5,2167580.0,175.09811188035016
263.5,1717158.0,206.6793307849675
288.5,1427374.0,237.56524468286858
313.5,1215060.0,266.8569567713967
338.5,1040238.0,294.14646451271943
363.5,889650.0,320.3773600245323
388.5,763529.0,346.1305463953291
413.5,660387.0,372.0451175447716
438.5,575677.0,397.62416196728856
463.5,502491.0,423.47951122206433
488.5,448281.0,448.9563535362147
513.5,404719.0,475.17174039883975
538.5,367554.0,500.4688891817238
563.5,335258.0,525.3031398561396
588.5,306823.0,550.0945739546173
613.5,282023.0,574.7592432237682
638.5,260259.0,599.8598475437532
663.5,237504.0,623.1091942747338
688.5,219030.0,647.5165637350821
713.5,203713.0,671.7604959375963
738.5,187653.0,695.1732709835987
763.5,174636.0,719.8966604744062
788.5,162293.0,744.3409872510405
813.5,150501.0,768.3085850704935
838.5,139620.0,792.7344938546227
863.5,129132.0,816.3327636378436
888.5,120565.0,839.3412088507674
913.5,112535.0,863.8267175694862
938.5,104543.0,887.6951101451302
963.5,96847.0,911.8273389323273
988.5,90013.0,934.8947289156757
1013.5,84059.0,958.524959115979
1038.5,77531.0,982.7087822207936
1063.5,71673.0,1005.8742792430417
1088.5,65934.0,1028.038774797747
1113.5,60569.0,1051.8373050547045
1138.5,54945.0,1075.395826428346
1163.5,49769.0,1098.8473473497363
1188.5,44958.0,1122.7874226719678
1213.5,40395.0,1145.1031774242056
1238.5,35524.0,1167.8538955535562
1263.5,31649.0,1191.3795107022752
1288.5,27130.0,1214.187820280464
1313.5,23303.0,1237.4555527602317
1338.5,19604.0,1259.3140787071318
1363.5,16647.0,1285.1999827032225
1388.5,14391.0,1308.7372794438581
1413.5,12232.0,1339.3708049307625
1438.5,10415.0,1365.3583572512227
1463.5,8728.0,1391.708402694856
1488.5,7482.0,1422.3974026106666
1513.5,5830.0,1449.4213476478747
1538.5,4541.0,1473.9681109386613
1563.5,3215.0,1497.7090240525977
1588.5,2168.0,1519.4796846959864
1613.5,1414.0,1534.6258790098457
1638.5,1030.0,1562.8313406638729
1663.5,808.0,1595.7216849751992
1688.5,678.0,1627.237434499735
1713.5,496.0,1654.9945351385302
1738.5,368.0,1692.7651486604111
1763.5,194.0,1647.8299573131444
1788.5,123.0,1647.6464149040905
1813.5,65.0,1651.5916579026443
1838.5,44.0,1687.3114429820669
1863.5,1131.0,1883.7003886174775
