PatientID,BodyType,NumSlices,Threshold_HU,NumPixels,MeanCorrectionAt130_HU,MinCorrectionAt130_HU,MaxCorrectionAt130_HU,FlipUp_Count,FlipUp_pct,FlipUp_MeanDistance_HU,FlipUp_Within1HU_pct,FlipUp_Within2HU_pct,FlipUp_Within5HU_pct,FlipUp_Within10HU_pct,FlipUp_Within20HU_pct,FlipDown_Count,FlipDown_pct,FlipDown_MeanDistance_HU,FlipDown_Within1HU_pct,FlipDown_Within2HU_pct,FlipDown_Within5HU_pct,FlipDown_Within10HU_pct,FlipDown_Within20HU_pct,NewDisagree_Count,NewDisagree_pct,NewDisagree_MeanDistance_HU,NewDisagree_Within1HU_pct,NewDisagree_Within2HU_pct,NewDisagree_Within5HU_pct,NewDisagree_Within10HU_pct,NewDisagree_Within20HU_pct,ResolvedDisagree_Count,ResolvedDisagree_pct,ResolvedDisagree_MeanDistance_HU,ResolvedDisagree_Within1HU_pct,ResolvedDisagree_Within2HU_pct,ResolvedDisagree_Within5HU_pct,ResolvedDisagree_Within10HU_pct,ResolvedDisagree_Within20HU_pct
C121,Chest,392,130.0,102760448,0.006557508075386476,0.003664326621219516,0.01287826057523489,84,8.174351283482142e-05,0.003056117466517857,100.0,100.0,100.0,100.0,100.0,0,0.0,,,,,,,48,4.67105787627551e-05,0.0028940836588541665,100.0,100.0,100.0,100.0,100.0,36,3.503293407206633e-05,0.003272162543402778,100.0,100.0,100.0,100.0,100.0
C135,Chest,355,130.0,93061120,0.007456566141524785,0.005436706356704235,0.008626882918179035,112,0.00012035101232394366,0.003772190638950893,100.0,100.0,100.0,100.0,100.0,0,0.0,,,,,,,63,6.769744443221831e-05,0.003716362847222222,100.0,100.0,100.0,100.0,100.0,49,5.265356789172535e-05,0.0038439692283163264,100.0,100.0,100.0,100.0,100.0
C170,Chest,359,130.0,94109696,0.00672862494706817,0.0038330962415784597,0.008797264657914639,105,0.00011157192559627437,0.0034098307291666667,100.0,100.0,100.0,100.0,100.0,0,0.0,,,,,,,55,5.84424372170961e-05,0.0033891157670454543,100.0,100.0,100.0,100.0,100.0,50,5.312948837917827e-05,0.0034326171875,100.0,100.0,100.0,100.0,100.0
C249,Chest,350,130.0,91750400,0.006567565595198955,0.004215715918689966,0.007664912845939398,55,5.994524274553571e-05,0.0030340021306818183,100.0,100.0,100.0,100.0,100.0,0,0.0,,,,,,,26,2.833775111607143e-05,0.0035071739783653845,100.0,100.0,100.0,100.0,100.0,29,3.160749162946429e-05,0.0026097790948275863,100.0,100.0,100.0,100.0,100.0
C280,Chest,369,130.0,96731136,0.00811627277534021,0.005240911152213812,0.01002233475446701,118,0.00012198760903624662,0.00436866889565678,100.0,100.0,100.0,100.0,100.0,0,0.0,,,,,,,64,6.616277100271002e-05,0.0043354034423828125,100.0,100.0,100.0,100.0,100.0,54,5.582483803353659e-05,0.004408094618055556,100.0,100.0,100.0,100.0,100.0
L006,Abdomen,215,130.0,56360960,0.0027713962207916516,0.0012333969352766871,0.005021950695663691,47,8.339105650436046e-05,0.001428482380319149,100.0,100.0,100.0,100.0,100.0,0,0.0,,,,,,,28,4.9679778343023256e-05,0.0016043526785714285,100.0,100.0,100.0,100.0,100.0,19,3.371127816133721e-05,0.0011693050986842106,100.0,100.0,100.0,100.0,100.0
L107,Abdomen,202,130.0,52953088,0.006808598094739684,0.004634271841496229,0.010201631113886833,118,0.00022283875116027227,0.003589694782838983,100.0,100.0,100.0,100.0,100.0,0,0.0,,,,,,,56,0.00010575398360148515,0.0037144252232142855,100.0,100.0,100.0,100.0,100.0,62,0.00011708476755878712,0.0034770350302419355,100.0,100.0,100.0,100.0,100.0
L220,Abdomen,156,130.0,40894464,0.005494938643935781,0.0035207588225603104,0.008022099733352661,128,0.0003130008012820513,0.0030775070190429688,100.0,100.0,100.0,100.0,100.0,0,0.0,,,,,,,69,0.00016872699444110578,0.002945609714673913,100.0,100.0,100.0,100.0,100.0,59,0.0001442738068409455,0.0032317597987288134,100.0,100.0,100.0,100.0,100.0
L221,Abdomen,99,130.0,25952256,0.005831995908396713,0.003960337024182081,0.006940349470824003,55,0.00021192762586805556,0.0031139026988636362,100.0,100.0,100.0,100.0,100.0,0,0.0,,,,,,,23,8.86242799084596e-05,0.002791694972826087,100.0,100.0,100.0,100.0,100.0,32,0.00012330334595959597,0.003345489501953125,100.0,100.0,100.0,100.0,100.0
L241,Abdomen,155,130.0,40632320,0.00976664392397769,0.005910517182201147,0.01207748893648386,202,0.0004971411920362903,0.0052556708307549506,100.0,100.0,100.0,100.0,100.0,0,0.0,,,,,,,93,0.0002288818359375,0.004759429603494624,100.0,100.0,100.0,100.0,100.0,109,0.00026825935609879034,0.005679069309059633,100.0,100.0,100.0,100.0,100.0
