BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-981.5474767396558
-986.5,63773187.0,-978.5688908692866
-961.5,34992110.0,-947.6392129763847
-936.5,41905467.0,-930.4635863379315
-911.5,38080256.0,-912.9056719057768
-886.5,23771967.0,-896.568964476533
-861.5,17979050.0,-881.1873125084823
-836.5,12931271.0,-864.943261053587
-811.5,8962811.0,-846.9650169079654
-786.5,6153836.0,-826.9404617171023
-761.5,4301469.0,-804.1668408962415
-736.5,3137777.0,-778.5913392440375
-711.5,2407275.0,-750.7993233124245
-686.5,1939834.0,-721.8549322636522
-661.5,1624043.0,-692.864159154676
-636.5,1404542.0,-664.5447369350549
-611.5,1239695.0,-636.8765844892876
-586.5,1116927.0,-610.0998444935802
-561.5,1023417.0,-583.4579955082817
-536.5,943062.0,-557.2030770456364
-511.5,882355.0,-530.0054179958908
-486.5,831351.0,-501.75898274652656
-461.5,797400.0,-472.133640362979
-436.5,779854.0,-440.00979031873413
-411.5,781389.0,-404.8780038444622
-386.5,809733.0,-365.458443716685
-361.5,875953.0,-323.05528879195424
-336.5,995447.0,-278.38128314359074
-311.5,1204919.0,-234.48136460238962
-286.5,1555477.0,-195.28075436177622
-261.5,2132879.0,-164.0022729332806
-236.5,3062338.0,-141.1982606117447
-211.5,4509843.0,-125.6420516031626
-186.5,6626563.0,-114.80878647481819
-161.5,9449163.0,-106.40323392697198
-136.5,15690863.0,-102.22308949879488
-111.5,32972315.0,-98.996102432616
-86.5,29782682.0,-82.06811399434166
-61.5,22497902.0,-58.004719548307335
-36.5,21385066.0,-35.1742780431883
-11.5,22037069.0,-13.093391213362086
13.5,23720463.0,7.355755343486307
38.5,26446250.0,26.28739117509359
63.5,23003218.0,40.248003869629976
88.5,16255628.0,53.049306030310085
113.5,12750198.0,69.15061130430506
138.5,8213242.0,81.8800394405418
163.5,5789757.0,104.28974546682834
188.5,4161909.0,131.0238665973531
213.5,2918187.0,159.52413643550747
238.5,2167580.0,192.0647447968395
263.5,1717158.0,226.26861898494641
288.5,1427374.0,259.26106200877854
313.5,1215060.0,289.99419473167694
338.5,1040238.0,318.591469006787
363.5,889650.0,345.9717135290981
388.5,763529.0,372.75326121795615
413.5,660387.0,399.4914681577802
438.5,575677.0,425.8744450174983
463.5,502491.0,452.66464116239206
488.5,448281.0,478.7344353305604
513.5,404719.0,505.512569237311
538.5,367554.0,531.189261148399
563.5,335258.0,556.750834315657
588.5,306823.0,582.0153269927259
613.5,282023.0,607.3060862370291
638.5,260259.0,632.9546657498629
663.5,237504.0,656.791688074612
688.5,219030.0,681.854015919333
713.5,203713.0,706.312115063521
738.5,187653.0,730.4235524176855
763.5,174636.0,755.4234433958432
788.5,162293.0,780.3423795865607
813.5,150501.0,804.7390297635552
838.5,139620.0,829.558805759519
863.5,129132.0,853.4413145171833
888.5,120565.0,876.7993584684408
913.5,112535.0,901.7449183940951
938.5,104543.0,925.9085397895576
963.5,96847.0,950.782994510016
988.5,90013.0,974.2660471937908
1013.5,84059.0,998.3402245671451
1038.5,77531.0,1023.0779155615035
1063.5,71673.0,1046.834471832774
1088.5,65934.0,1070.172729976329
1113.5,60569.0,1094.9743260047587
1138.5,54945.0,1118.9699955104252
1163.5,49769.0,1143.1945101064182
1188.5,44958.0,1167.5130485338834
1213.5,40395.0,1190.4302649247616
1238.5,35524.0,1213.364681515792
1263.5,31649.0,1237.1534414918447
1288.5,27130.0,1260.3244812619146
1313.5,23303.0,1283.675433782039
1338.5,19604.0,1305.3320610452686
1363.5,16647.0,1330.4612781852118
1388.5,14391.0,1352.0080463175364
1413.5,12232.0,1380.0218068154675
1438.5,10415.0,1403.8889882615595
1463.5,8728.0,1428.6330757455798
1488.5,7482.0,1456.754622536144
1513.5,5830.0,1482.592793475457
1538.5,4541.0,1506.409336892342
1563.5,3215.0,1528.843473471824
1588.5,2168.0,1551.243518167756
1613.5,1414.0,1565.392433177295
1638.5,1030.0,1592.871913161787
1663.5,808.0,1622.346517883905
1688.5,678.0,1652.4001679096953
1713.5,496.0,1678.882675909227
1738.5,368.0,1717.5461727639904
1763.5,194.0,1673.4010066396183
1788.5,123.0,1684.381470719004
1813.5,65.0,1669.6707838792067
1838.5,44.0,1718.916220925071
1863.5,1131.0,1886.9692318053715
