BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.1379274049634
-986.5,63773187.0,-984.4225463915768
-961.5,34992110.0,-956.6394744452219
-936.5,41905467.0,-937.800913276688
-911.5,38080256.0,-920.0202971102142
-886.5,23771967.0,-904.8913681523233
-861.5,17979050.0,-889.3543855714165
-836.5,12931271.0,-872.8232274674514
-811.5,8962811.0,-854.481059503464
-786.5,6153836.0,-834.0080351688489
-761.5,4301469.0,-810.6717069383619
-736.5,3137777.0,-784.3821673243752
-711.5,2407275.0,-755.7367061042859
-686.5,1939834.0,-725.8222938042281
-661.5,1624043.0,-695.7874591145109
-636.5,1404542.0,-666.3498698126325
-611.5,1239695.0,-637.4630196564108
-586.5,1116927.0,-609.3913554450701
-561.5,1023417.0,-581.3718191255149
-536.5,943062.0,-553.7343545392929
-511.5,882355.0,-525.0960462743458
-486.5,831351.0,-495.39138770169274
-461.5,797400.0,-464.3880201718512
-436.5,779854.0,-430.9852977338929
-411.5,781389.0,-394.7291580970195
-386.5,809733.0,-354.39557244547063
-361.5,875953.0,-311.3342500088174
-336.5,995447.0,-266.29452039735304
-311.5,1204919.0,-222.3119281842695
-286.5,1555477.0,-183.28338171325106
-261.5,2132879.0,-152.32359892672045
-236.5,3062338.0,-129.90835775833924
-211.5,4509843.0,-114.72534022758079
-186.5,6626563.0,-104.28391963690693
-161.5,9449163.0,-96.36995812588306
-136.5,15690863.0,-94.48698400958338
-111.5,32972315.0,-94.62970239634907
-86.5,29782682.0,-77.56020346760639
-61.5,22497902.0,-53.07860905782559
-36.5,21385066.0,-31.233915453356435
-11.5,22037069.0,-10.44420025414685
13.5,23720463.0,8.862312243088013
38.5,26446250.0,26.961006900443152
63.5,23003218.0,40.324812318833985
88.5,16255628.0,52.373433287162946
113.5,12750198.0,67.82560140261006
138.5,8213242.0,79.37267974682321
163.5,5789757.0,100.65733009556268
188.5,4161909.0,126.06562461938277
213.5,2918187.0,152.5355092894829
238.5,2167580.0,182.80728488466977
263.5,1717158.0,214.86974680807074
288.5,1427374.0,246.0768532831436
313.5,1215060.0,275.41127070932606
338.5,1040238.0,302.89909874006804
363.5,889650.0,329.2000958384019
388.5,763529.0,355.0121559316163
413.5,660387.0,380.8761828698255
438.5,575677.0,406.3406121229865
463.5,502491.0,432.0762747891615
488.5,448281.0,457.30057727773783
513.5,404719.0,483.21800150598676
538.5,367554.0,508.1728487895032
563.5,335258.0,532.8526354851865
588.5,306823.0,557.2785396987395
613.5,282023.0,581.8037064628193
638.5,260259.0,606.530057897863
663.5,237504.0,629.3709924718949
688.5,219030.0,653.5232098207264
713.5,203713.0,677.3045617321578
738.5,187653.0,700.5843035292836
763.5,174636.0,724.9052720485898
788.5,162293.0,749.1561082212136
813.5,150501.0,772.9227231251072
838.5,139620.0,797.1509647961179
863.5,129132.0,820.4872303569723
888.5,120565.0,843.4368343358492
913.5,112535.0,867.7735274904492
938.5,104543.0,891.463144191532
963.5,96847.0,915.8272397844668
988.5,90013.0,938.9084694731106
1013.5,84059.0,962.6541617864584
1038.5,77531.0,987.0417440272505
1063.5,71673.0,1010.3534026580572
1088.5,65934.0,1033.3134766513672
1113.5,60569.0,1057.691659867001
1138.5,54945.0,1081.501798482609
1163.5,49769.0,1105.532018520045
1188.5,44958.0,1129.8757678471911
1213.5,40395.0,1153.0108678629588
1238.5,35524.0,1176.3589918310342
1263.5,31649.0,1200.4198462140855
1288.5,27130.0,1224.2185423049898
1313.5,23303.0,1248.210401072664
1338.5,19604.0,1270.8028217059596
1363.5,16647.0,1296.989689241997
1388.5,14391.0,1320.8488190352532
1413.5,12232.0,1351.8064035599025
1438.5,10415.0,1378.1379149570182
1463.5,8728.0,1404.9837690400595
1488.5,7482.0,1435.3702404977676
1513.5,5830.0,1462.5599337386432
1538.5,4541.0,1487.6666080463933
1563.5,3215.0,1510.1000635221253
1588.5,2168.0,1532.535607425929
1613.5,1414.0,1546.3352783721105
1638.5,1030.0,1574.1104043016155
1663.5,808.0,1606.067251224329
1688.5,678.0,1637.0030263715087
1713.5,496.0,1663.658949329007
1738.5,368.0,1704.5048662268598
1763.5,194.0,1651.4826666448535
1788.5,123.0,1653.3238912442835
1813.5,65.0,1639.3616962139422
1838.5,44.0,1690.2546608664773
1863.5,1131.0,1884.2977371553106
