BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-984.7882685831795
-986.5,63773187.0,-979.8771902027422
-961.5,34992110.0,-951.7878188057023
-936.5,41905467.0,-932.6530189426542
-911.5,38080256.0,-914.637415025204
-886.5,23771967.0,-899.3741939580551
-861.5,17979050.0,-883.7929162386704
-836.5,12931271.0,-867.3465717710337
-811.5,8962811.0,-849.2042546410349
-786.5,6153836.0,-829.1012210260387
-761.5,4301469.0,-806.3849537977925
-736.5,3137777.0,-781.051838907358
-711.5,2407275.0,-753.7679881247623
-686.5,1939834.0,-725.6632636037675
-661.5,1624043.0,-697.8194008647095
-636.5,1404542.0,-670.8502238129494
-611.5,1239695.0,-644.546791071866
-586.5,1116927.0,-619.0188112608754
-561.5,1023417.0,-593.4611276387084
-536.5,943062.0,-568.0039185593927
-511.5,882355.0,-541.2231840888074
-486.5,831351.0,-512.972977325591
-461.5,797400.0,-482.9231731357962
-436.5,779854.0,-449.9781582808439
-411.5,781389.0,-413.641679766789
-386.5,809733.0,-372.67552258304204
-361.5,875953.0,-328.5092550181773
-336.5,995447.0,-281.9631055090679
-311.5,1204919.0,-236.27277247635809
-286.5,1555477.0,-195.57252251931646
-261.5,2132879.0,-163.18769720227053
-236.5,3062338.0,-139.67640634702124
-211.5,4509843.0,-123.70511682546474
-186.5,6626563.0,-112.68605122821553
-161.5,9449163.0,-104.31424204694088
-136.5,15690863.0,-102.28465245452496
-111.5,32972315.0,-102.3194326827555
-86.5,29782682.0,-84.28332107325082
-61.5,22497902.0,-58.49777542495735
-36.5,21385066.0,-35.44710003444358
-11.5,22037069.0,-13.488958917129972
13.5,23720463.0,6.9129728665452745
38.5,26446250.0,26.049063010912462
63.5,23003218.0,40.14042917720497
88.5,16255628.0,52.77877378456928
113.5,12750198.0,69.05003744277025
138.5,8213242.0,81.16213602426859
163.5,5789757.0,103.52951980150756
188.5,4161909.0,130.20285026394674
213.5,2918187.0,157.955910936873
238.5,2167580.0,189.68490751102792
263.5,1717158.0,223.26355929774897
288.5,1427374.0,255.91313989182487
313.5,1215060.0,286.56476466937227
338.5,1040238.0,315.24144279937036
363.5,889650.0,342.6314821800258
388.5,763529.0,369.4702416242559
413.5,660387.0,396.3236733482757
438.5,575677.0,422.7206259834252
463.5,502491.0,449.362504644561
488.5,448281.0,475.4405353433841
513.5,404719.0,502.2060309563899
538.5,367554.0,527.9431239490808
563.5,335258.0,553.3658356118326
588.5,306823.0,578.4970809200446
613.5,282023.0,603.7067182175572
638.5,260259.0,629.0913784781702
663.5,237504.0,652.5161418033333
688.5,219030.0,677.2628973844841
713.5,203713.0,701.6069041060931
738.5,187653.0,725.4159239433019
763.5,174636.0,750.270455887392
788.5,162293.0,775.0335880368931
813.5,150501.0,799.2783921412768
838.5,139620.0,823.9770793062895
863.5,129132.0,847.7454141177782
888.5,120565.0,871.1038722719996
913.5,112535.0,895.8579823966875
938.5,104543.0,919.9387679027195
963.5,96847.0,944.6866088351666
988.5,90013.0,968.114631284216
1013.5,84059.0,992.2074224576219
1038.5,77531.0,1016.9353840676116
1063.5,71673.0,1040.5627142451247
1088.5,65934.0,1063.8157228884158
1113.5,60569.0,1088.4935604922337
1138.5,54945.0,1112.583443913107
1163.5,49769.0,1136.885353278926
1188.5,44958.0,1161.5006521630476
1213.5,40395.0,1184.8792218801009
1238.5,35524.0,1208.4607026407598
1263.5,31649.0,1232.7529960221793
1288.5,27130.0,1256.7740466952016
1313.5,23303.0,1280.9852435834694
1338.5,19604.0,1303.7680948503016
1363.5,16647.0,1330.1738827622257
1388.5,14391.0,1354.220668470128
1413.5,12232.0,1385.4132596721363
1438.5,10415.0,1411.9440303339159
1463.5,8728.0,1438.9626103583878
1488.5,7482.0,1469.5603846693
1513.5,5830.0,1496.8877348230797
1538.5,4541.0,1522.1584604377133
1563.5,3215.0,1544.704302836132
1588.5,2168.0,1567.176216829307
1613.5,1414.0,1580.9534658299815
1638.5,1030.0,1608.9827373615747
1663.5,808.0,1640.8539288209217
1688.5,678.0,1671.9456563853937
1713.5,496.0,1698.5674177600492
1738.5,368.0,1739.180464039678
1763.5,194.0,1685.9331520316528
1788.5,123.0,1687.6531178544208
1813.5,65.0,1671.3762338491586
1838.5,44.0,1717.7660189541903
1863.5,1131.0,1887.087546863775
