BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.1379274050006
-986.5,63773187.0,-984.4225463940929
-961.5,34992110.0,-956.6394744433417
-936.5,41905467.0,-937.8009132785813
-911.5,38080256.0,-920.0202971148046
-886.5,23771967.0,-904.8913681507648
-861.5,17979050.0,-889.3543855778802
-836.5,12931271.0,-872.823227477519
-811.5,8962811.0,-854.481059504322
-786.5,6153836.0,-834.0080351747998
-761.5,4301469.0,-810.671706929522
-736.5,3137777.0,-784.3821673645041
-711.5,2407275.0,-755.7367061226172
-686.5,1939834.0,-725.8222937981556
-661.5,1624043.0,-695.7874591417956
-636.5,1404542.0,-666.3498698126325
-611.5,1239695.0,-637.4630196744304
-586.5,1116927.0,-609.391355444469
-561.5,1023417.0,-581.3718191191335
-536.5,943062.0,-553.7343546344316
-511.5,882355.0,-525.096046282439
-486.5,831351.0,-495.3913876889916
-461.5,797400.0,-464.38802017047345
-436.5,779854.0,-430.98529771103955
-411.5,781389.0,-394.7291581605238
-386.5,809733.0,-354.3955724762244
-361.5,875953.0,-311.33425005362074
-336.5,995447.0,-266.2945203676769
-311.5,1204919.0,-222.31192817429047
-286.5,1555477.0,-183.28338164309196
-261.5,2132879.0,-152.32359890811986
-236.5,3062338.0,-129.90835772637007
-211.5,4509843.0,-114.72534021196283
-186.5,6626563.0,-104.28391965155191
-161.5,9449163.0,-96.36995809785607
-136.5,15690863.0,-94.48698402333012
-111.5,32972315.0,-94.62970239719688
-86.5,29782682.0,-77.56020345839865
-61.5,22497902.0,-53.07860905453752
-36.5,21385066.0,-31.233915448938284
-11.5,22037069.0,-10.444200246851569
13.5,23720463.0,8.86231222445104
38.5,26446250.0,26.961006889388337
63.5,23003218.0,40.324812324084924
88.5,16255628.0,52.373433276638494
113.5,12750198.0,67.82560140056601
138.5,8213242.0,79.37267972860163
163.5,5789757.0,100.65733009043932
188.5,4161909.0,126.06562460614012
213.5,2918187.0,152.53550930067266
238.5,2167580.0,182.80728497055227
263.5,1717158.0,214.86974672877142
288.5,1427374.0,246.07685332470678
313.5,1215060.0,275.4112707379082
338.5,1040238.0,302.89909872669034
363.5,889650.0,329.2000958602872
388.5,763529.0,355.01215592514126
413.5,660387.0,380.8761829640973
438.5,575677.0,406.3406121827836
463.5,502491.0,432.0762747355954
488.5,448281.0,457.30057733560324
513.5,404719.0,483.2180014233436
538.5,367554.0,508.172848685385
563.5,335258.0,532.8526355780342
588.5,306823.0,557.2785397934283
613.5,282023.0,581.803706423431
638.5,260259.0,606.5300580104312
663.5,237504.0,629.370992397626
688.5,219030.0,653.5232100224771
713.5,203713.0,677.3045618520032
738.5,187653.0,700.5843032235435
763.5,174636.0,724.9052721862926
788.5,162293.0,749.1561084464855
813.5,150501.0,772.9227229101675
838.5,139620.0,797.1509650531633
863.5,129132.0,820.4872300180772
888.5,120565.0,843.4368346790818
913.5,112535.0,867.7735277236666
938.5,104543.0,891.4631443386568
963.5,96847.0,915.8272394674648
988.5,90013.0,938.9084692968123
1013.5,84059.0,962.6541618852079
1038.5,77531.0,987.0417437706117
1063.5,71673.0,1010.3534025439458
1088.5,65934.0,1033.3134775400401
1113.5,60569.0,1057.6916593833066
1138.5,54945.0,1081.5017986625653
1163.5,49769.0,1105.5320186880576
1188.5,44958.0,1129.875768197453
1213.5,40395.0,1153.0108674701096
1238.5,35524.0,1176.358991903196
1263.5,31649.0,1200.4198457647444
1288.5,27130.0,1224.2185421430092
1313.5,23303.0,1248.2104004126263
1338.5,19604.0,1270.802821407073
1363.5,16647.0,1296.9896893079929
1388.5,14391.0,1320.8488176441385
1413.5,12232.0,1351.8064036796575
1438.5,10415.0,1378.1379146053994
1463.5,8728.0,1404.9837682848126
1488.5,7482.0,1435.3702408077563
1513.5,5830.0,1462.5599336339515
1538.5,4541.0,1487.6666087453204
1563.5,3215.0,1510.1000627247765
1588.5,2168.0,1532.5356068628741
1613.5,1414.0,1546.3352759548764
1638.5,1030.0,1574.1104014572588
1663.5,808.0,1606.0672518286374
1688.5,678.0,1637.0030229506592
1713.5,496.0,1663.6589490828976
1738.5,368.0,1704.504862578019
1763.5,194.0,1651.482661611026
1788.5,123.0,1653.3238892594004
1813.5,65.0,1639.3616905799279
1838.5,44.0,1690.2546553178267
1863.5,1131.0,1884.297736939448
