BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.1379274064204
-986.5,63773187.0,-984.4225463926488
-961.5,34992110.0,-956.639474436061
-936.5,41905467.0,-937.8009132765685
-911.5,38080256.0,-920.0202971178836
-886.5,23771967.0,-904.8913681604444
-861.5,17979050.0,-889.3543855805417
-836.5,12931271.0,-872.8232274848256
-811.5,8962811.0,-854.481059497342
-786.5,6153836.0,-834.0080351646336
-761.5,4301469.0,-810.6717069322747
-736.5,3137777.0,-784.3821673368049
-711.5,2407275.0,-755.736706116811
-686.5,1939834.0,-725.8222938051092
-661.5,1624043.0,-695.7874591479215
-636.5,1404542.0,-666.3498698238006
-611.5,1239695.0,-637.4630196940255
-586.5,1116927.0,-609.3913554595512
-561.5,1023417.0,-581.371819093489
-536.5,943062.0,-553.7343545950171
-511.5,882355.0,-525.0960462313202
-486.5,831351.0,-495.3913876744551
-461.5,797400.0,-464.3880202070609
-436.5,779854.0,-430.9852976863861
-411.5,781389.0,-394.7291581496664
-386.5,809733.0,-354.3955725347923
-361.5,875953.0,-311.33425003209004
-336.5,995447.0,-266.2945204494089
-311.5,1204919.0,-222.31192821694196
-286.5,1555477.0,-183.28338166345694
-261.5,2132879.0,-152.3235989397695
-236.5,3062338.0,-129.90835774020212
-211.5,4509843.0,-114.72534019976891
-186.5,6626563.0,-104.28391965044663
-161.5,9449163.0,-96.36995811751824
-136.5,15690863.0,-94.48698401975923
-111.5,32972315.0,-94.62970240530287
-86.5,29782682.0,-77.56020346632144
-61.5,22497902.0,-53.07860906326772
-36.5,21385066.0,-31.23391545947563
-11.5,22037069.0,-10.444200241107298
13.5,23720463.0,8.862312231822974
38.5,26446250.0,26.961006884320202
63.5,23003218.0,40.32481230243374
88.5,16255628.0,52.37343329540828
113.5,12750198.0,67.8256014087805
138.5,8213242.0,79.3726797575243
163.5,5789757.0,100.65733011386345
188.5,4161909.0,126.06562459226686
213.5,2918187.0,152.53550929513008
238.5,2167580.0,182.80728498232241
263.5,1717158.0,214.86974677643633
288.5,1427374.0,246.0768532672795
313.5,1215060.0,275.4112707351454
338.5,1040238.0,302.8990986779907
363.5,889650.0,329.2000958863574
388.5,763529.0,355.01215593385456
413.5,660387.0,380.87618291751596
438.5,575677.0,406.3406121507646
463.5,502491.0,432.0762747453126
488.5,448281.0,457.30057724233785
513.5,404719.0,483.21800151578935
538.5,367554.0,508.17284883981864
563.5,335258.0,532.8526355021177
588.5,306823.0,557.2785398230684
613.5,282023.0,581.8037065651855
638.5,260259.0,606.5300579192041
663.5,237504.0,629.370992324385
688.5,219030.0,653.5232098577883
713.5,203713.0,677.3045618292326
738.5,187653.0,700.584303427804
763.5,174636.0,724.9052721387607
788.5,162293.0,749.156108505154
813.5,150501.0,772.9227230529199
838.5,139620.0,797.1509648844226
863.5,129132.0,820.4872303810778
888.5,120565.0,843.4368345828957
913.5,112535.0,867.7735278744443
938.5,104543.0,891.4631443690158
963.5,96847.0,915.8272393439412
988.5,90013.0,938.9084693076614
1013.5,84059.0,962.6541619658049
1038.5,77531.0,987.0417437721862
1063.5,71673.0,1010.3534023259418
1088.5,65934.0,1033.313477221599
1113.5,60569.0,1057.6916599234319
1138.5,54945.0,1081.501798713664
1163.5,49769.0,1105.5320186586248
1188.5,44958.0,1129.8757677141461
1213.5,40395.0,1153.010867240444
1238.5,35524.0,1176.3589920337747
1263.5,31649.0,1200.4198459113106
1288.5,27130.0,1224.218542012525
1313.5,23303.0,1248.2104004073879
1338.5,19604.0,1270.8028211766812
1363.5,16647.0,1296.9896892493298
1388.5,14391.0,1320.8488186111329
1413.5,12232.0,1351.806403330372
1438.5,10415.0,1378.1379157188587
1463.5,8728.0,1404.9837693337668
1488.5,7482.0,1435.3702417866682
1513.5,5830.0,1462.5599340317792
1538.5,4541.0,1487.666608234566
1563.5,3215.0,1510.1000620033656
1588.5,2168.0,1532.535606975485
1613.5,1414.0,1546.335278113121
1638.5,1030.0,1574.1104033534966
1663.5,808.0,1606.0672521307918
1688.5,678.0,1637.0030225905698
1713.5,496.0,1663.658951790102
1738.5,368.0,1704.5048662268598
1763.5,194.0,1651.482659723341
1788.5,123.0,1653.3238872745173
1813.5,65.0,1639.3617037259614
1838.5,44.0,1690.2546525435014
1863.5,1131.0,1884.29773629186
