BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.1378653510826
-986.5,63773187.0,-984.4224723779992
-961.5,34992110.0,-956.6393744654554
-936.5,41905467.0,-937.8008264202357
-911.5,38080256.0,-920.0202073983297
-886.5,23771967.0,-904.8912523161578
-861.5,17979050.0,-889.354254047654
-836.5,12931271.0,-872.823081435048
-811.5,8962811.0,-854.4809016980334
-786.5,6153836.0,-834.0078707942636
-761.5,4301469.0,-810.6715425752838
-736.5,3137777.0,-784.3820098111051
-711.5,2407275.0,-755.7365621657268
-686.5,1939834.0,-725.822165164964
-661.5,1624043.0,-695.7873469127655
-636.5,1404542.0,-666.3497713676728
-611.5,1239695.0,-637.4629330203569
-586.5,1116927.0,-609.3912779048634
-561.5,1023417.0,-581.3717510426865
-536.5,943062.0,-553.734294627291
-511.5,882355.0,-525.0959960368898
-486.5,831351.0,-495.3913496830068
-461.5,797400.0,-464.38799750610076
-436.5,779854.0,-430.98529531918746
-411.5,781389.0,-394.72918214930263
-386.5,809733.0,-354.3956324242951
-361.5,875953.0,-311.3343528760632
-336.5,995447.0,-266.29467224036665
-311.5,1204919.0,-222.31212742628958
-286.5,1555477.0,-183.28361878978117
-261.5,2132879.0,-152.32385450849515
-236.5,3062338.0,-129.90861187453976
-211.5,4509843.0,-114.72557537543837
-186.5,6626563.0,-104.2841220062934
-161.5,9449163.0,-96.37012053562331
-136.5,15690863.0,-94.48708171572541
-111.5,32972315.0,-94.62973030155696
-86.5,29782682.0,-77.56022158397195
-61.5,22497902.0,-53.078633754334135
-36.5,21385066.0,-31.233935807786146
-11.5,22037069.0,-10.444211686369448
13.5,23720463.0,8.862315809247002
38.5,26446250.0,26.961030834567442
63.5,23003218.0,40.32486097831219
88.5,16255628.0,52.373510018295335
113.5,12750198.0,67.82569885156012
138.5,8213242.0,79.37280284574062
163.5,5789757.0,100.65745829642346
188.5,4161909.0,126.06574665685993
213.5,2918187.0,152.53562118292942
238.5,2167580.0,182.80737903480122
263.5,1717158.0,214.86981969713997
288.5,1427374.0,246.0769099719138
313.5,1215060.0,275.411314548086
338.5,1040238.0,302.8991315581451
363.5,889650.0,329.2001210081574
388.5,763529.0,355.01217191910223
413.5,660387.0,380.8761890844617
438.5,575677.0,406.34060861128387
463.5,502491.0,432.07626353541326
488.5,448281.0,457.3005570831357
513.5,404719.0,483.21797547896466
538.5,367554.0,508.1728168924841
563.5,335258.0,532.8525951206561
588.5,306823.0,557.2784976365745
613.5,282023.0,581.8036628180176
638.5,260259.0,606.5300160450237
663.5,237504.0,629.3709466580077
688.5,219030.0,653.5231626386529
713.5,203713.0,677.3045165495496
738.5,187653.0,700.5842552285278
763.5,174636.0,724.9052240623387
788.5,162293.0,749.1560606632612
813.5,150501.0,772.9226736650596
838.5,139620.0,797.1509161218704
863.5,129132.0,820.487181126427
888.5,120565.0,843.4367834574412
913.5,112535.0,867.7734835240929
938.5,104543.0,891.4631015709025
963.5,96847.0,915.8271984053193
988.5,90013.0,938.9084311099182
1013.5,84059.0,962.6541215293513
1038.5,77531.0,987.0417079537577
1063.5,71673.0,1010.3533637639313
1088.5,65934.0,1033.3134433872349
1113.5,60569.0,1057.691622904701
1138.5,54945.0,1081.5017644020086
1163.5,49769.0,1105.5320045909466
1188.5,44958.0,1129.875755797099
1213.5,40395.0,1153.010853826157
1238.5,35524.0,1176.3589870477365
1263.5,31649.0,1200.419842665642
1288.5,27130.0,1224.2185540080818
1313.5,23303.0,1248.2104259655157
1338.5,19604.0,1270.8028524352492
1363.5,16647.0,1296.989719827404
1388.5,14391.0,1320.8488597338396
1413.5,12232.0,1351.8064457436183
1438.5,10415.0,1378.1379613003705
1463.5,8728.0,1404.9838205646965
1488.5,7482.0,1435.3702868003
1513.5,5830.0,1462.5599858331434
1538.5,4541.0,1487.6666716487628
1563.5,3215.0,1510.1001310309948
1588.5,2168.0,1532.5356715578876
1613.5,1414.0,1546.3353865433278
1638.5,1030.0,1574.1105258978687
1663.5,808.0,1606.067330841971
1688.5,678.0,1637.0031014501521
1713.5,496.0,1663.659016024682
1738.5,368.0,1704.5049023835556
1763.5,194.0,1651.4827899736229
1788.5,123.0,1653.3240738535314
1813.5,65.0,1639.3619779146634
1838.5,44.0,1690.2548855868254
1863.5,1131.0,1884.2977587415728
