BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-990.8626058711714
-986.5,63773187.0,-985.6881834755415
-961.5,34992110.0,-960.0722247705284
-936.5,41905467.0,-940.1502529619555
-911.5,38080256.0,-922.348633778907
-886.5,23771967.0,-908.6735771847277
-861.5,17979050.0,-893.0068375215037
-836.5,12931271.0,-876.2276328298918
-811.5,8962811.0,-857.6483770094934
-786.5,6153836.0,-837.0921616679877
-761.5,4301469.0,-813.8532574784688
-736.5,3137777.0,-787.9201156305767
-711.5,2407275.0,-759.8656159192243
-686.5,1939834.0,-730.8094417467046
-661.5,1624043.0,-701.8316462016465
-636.5,1404542.0,-673.5239925118655
-611.5,1239695.0,-645.834600786186
-586.5,1116927.0,-618.9050957665371
-561.5,1023417.0,-592.0920194108865
-536.5,943062.0,-565.5585108894467
-511.5,882355.0,-538.143677580833
-486.5,831351.0,-509.6601941836692
-461.5,797400.0,-480.0039216991508
-436.5,779854.0,-448.05559223102074
-411.5,781389.0,-413.377007622257
-386.5,809733.0,-374.83291325942616
-361.5,875953.0,-333.6071697032922
-336.5,995447.0,-290.5169039122429
-311.5,1204919.0,-248.24625395956662
-286.5,1555477.0,-210.22648525122588
-261.5,2132879.0,-179.36700588569926
-236.5,3062338.0,-156.03360968255916
-211.5,4509843.0,-139.11261005426974
-186.5,6626563.0,-126.52501367351532
-161.5,9449163.0,-116.33326078796165
-136.5,15690863.0,-109.35207247491165
-111.5,32972315.0,-103.39474930199165
-86.5,29782682.0,-86.67861369661688
-61.5,22497902.0,-63.06029723892443
-36.5,21385066.0,-39.55946325426372
-11.5,22037069.0,-16.35613175315624
13.5,23720463.0,5.298424438659978
38.5,26446250.0,25.157490041894288
63.5,23003218.0,39.49094257679277
88.5,16255628.0,52.839616134199446
113.5,12750198.0,69.53309830134637
138.5,8213242.0,82.57921645648457
163.5,5789757.0,105.37002042051579
188.5,4161909.0,132.7077793898126
213.5,2918187.0,162.08682780673598
238.5,2167580.0,195.35296313285536
263.5,1717158.0,230.00413575373656
288.5,1427374.0,263.3365837342089
313.5,1215060.0,294.5139643867875
338.5,1040238.0,323.33428641012614
363.5,889650.0,351.099622366127
388.5,763529.0,378.19105343143383
413.5,660387.0,405.303405990374
438.5,575677.0,432.07299023444455
463.5,502491.0,459.2206546627038
488.5,448281.0,485.6719863089894
513.5,404719.0,512.6752352326854
538.5,367554.0,538.6238092013682
563.5,335258.0,564.1921437238815
588.5,306823.0,589.6654558983839
613.5,282023.0,614.9153915844983
638.5,260259.0,640.6149728787109
663.5,237504.0,664.6928661041136
688.5,219030.0,689.7090092675237
713.5,203713.0,714.3513730118658
738.5,187653.0,738.2776719538654
763.5,174636.0,763.3574709855903
788.5,162293.0,788.075091839345
813.5,150501.0,812.2911448288758
838.5,139620.0,836.9854056924039
863.5,129132.0,860.6988558991818
888.5,120565.0,883.7566791905721
913.5,112535.0,908.3875741354643
938.5,104543.0,932.3447655353707
963.5,96847.0,956.4883599294949
988.5,90013.0,979.4749547325586
1013.5,84059.0,1002.9709190799139
1038.5,77531.0,1026.9974365360333
1063.5,71673.0,1050.1016950481294
1088.5,65934.0,1072.1021360123736
1113.5,60569.0,1095.822199469739
1138.5,54945.0,1118.9789044948714
1163.5,49769.0,1142.2318826896276
1188.5,44958.0,1165.6181002931296
1213.5,40395.0,1187.2052469594687
1238.5,35524.0,1209.1281070887485
1263.5,31649.0,1232.0885421057224
1288.5,27130.0,1253.8647567979622
1313.5,23303.0,1276.1606488267337
1338.5,19604.0,1296.8734593573358
1363.5,16647.0,1321.6824627645583
1388.5,14391.0,1343.1052779552297
1413.5,12232.0,1371.2186118625518
1438.5,10415.0,1395.080619582727
1463.5,8728.0,1419.523606661369
1488.5,7482.0,1448.4170919223063
1513.5,5830.0,1474.680326327656
1538.5,4541.0,1498.2289055188146
1563.5,3215.0,1521.8629482619315
1588.5,2168.0,1542.5837499189201
1613.5,1414.0,1557.1818914130183
1638.5,1030.0,1585.240073668841
1663.5,808.0,1614.4105212523205
1688.5,678.0,1645.6764938669571
1713.5,496.0,1673.5588681620936
1738.5,368.0,1710.434181213379
1763.5,194.0,1676.3280677402142
1788.5,123.0,1683.6140930672002
1813.5,65.0,1686.6731370192308
1838.5,44.0,1724.8680614124644
1863.5,1131.0,1887.2119985727163
