BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.1379274038568
-986.5,63773187.0,-984.4225463903335
-961.5,34992110.0,-956.6394744395304
-936.5,41905467.0,-937.8009132778429
-911.5,38080256.0,-920.020297118483
-886.5,23771967.0,-904.8913681536969
-861.5,17979050.0,-889.3543855773098
-836.5,12931271.0,-872.8232274713878
-811.5,8962811.0,-854.4810594968721
-786.5,6153836.0,-834.0080351789654
-761.5,4301469.0,-810.6717069154461
-736.5,3137777.0,-784.3821673251728
-711.5,2407275.0,-755.7367060910509
-686.5,1939834.0,-725.8222938081611
-661.5,1624043.0,-695.7874590887294
-636.5,1404542.0,-666.3498698303189
-611.5,1239695.0,-637.4630196728549
-586.5,1116927.0,-609.3913554499336
-561.5,1023417.0,-581.3718190794142
-536.5,943062.0,-553.7343545694525
-511.5,882355.0,-525.0960463173715
-486.5,831351.0,-495.39138770360154
-461.5,797400.0,-464.3880201562365
-436.5,779854.0,-430.9852976852121
-411.5,781389.0,-394.7291581605238
-386.5,809733.0,-354.3955724746415
-361.5,875953.0,-311.33425005856793
-336.5,995447.0,-266.29452034774977
-311.5,1204919.0,-222.3119281593979
-286.5,1555477.0,-183.28338170446156
-261.5,2132879.0,-152.3235989232865
-236.5,3062338.0,-129.90835777665572
-211.5,4509843.0,-114.72534019527569
-186.5,6626563.0,-104.28391964926766
-161.5,9449163.0,-96.36995811730509
-136.5,15690863.0,-94.48698401900849
-111.5,32972315.0,-94.62970239632317
-86.5,29782682.0,-77.56020346997337
-61.5,22497902.0,-53.078609054431716
-36.5,21385066.0,-31.233915441360644
-11.5,22037069.0,-10.444200247516287
13.5,23720463.0,8.862312238067892
38.5,26446250.0,26.961006893447923
63.5,23003218.0,40.324812306904604
88.5,16255628.0,52.373433282015235
113.5,12750198.0,67.82560141278721
138.5,8213242.0,79.3726797534891
163.5,5789757.0,100.657330111734
188.5,4161909.0,126.06562459619713
213.5,2918187.0,152.5355092675217
238.5,2167580.0,182.80728494543516
263.5,1717158.0,214.86974677213547
288.5,1427374.0,246.0768532647566
313.5,1215060.0,275.4112706690398
338.5,1040238.0,302.8990986964731
363.5,889650.0,329.20009582440633
388.5,763529.0,355.0121558941252
413.5,660387.0,380.87618290568577
438.5,575677.0,406.3406120763363
463.5,502491.0,432.0762746855517
488.5,448281.0,457.3005773181755
513.5,404719.0,483.2180014797461
538.5,367554.0,508.17284885476386
563.5,335258.0,532.8526354942893
588.5,306823.0,557.2785397144546
613.5,282023.0,581.8037065160584
638.5,260259.0,606.5300581058797
663.5,237504.0,629.3709924960516
688.5,219030.0,653.5232097290468
713.5,203713.0,677.3045619209144
738.5,187653.0,700.5843032511902
763.5,174636.0,724.9052720139895
788.5,162293.0,749.1561083201226
813.5,150501.0,772.9227228894847
838.5,139620.0,797.1509648612536
863.5,129132.0,820.4872301551477
888.5,120565.0,843.4368344219105
913.5,112535.0,867.7735275631262
938.5,104543.0,891.4631443421597
963.5,96847.0,915.8272397554765
988.5,90013.0,938.9084694147965
1013.5,84059.0,962.6541617879107
1038.5,77531.0,987.0417437170797
1063.5,71673.0,1010.3534024451627
1088.5,65934.0,1033.3134772845467
1113.5,60569.0,1057.6916598488624
1138.5,54945.0,1081.5017988647382
1163.5,49769.0,1105.5320186488138
1188.5,44958.0,1129.8757680508318
1213.5,40395.0,1153.0108674157152
1238.5,35524.0,1176.3589919066324
1263.5,31649.0,1200.4198456760334
1288.5,27130.0,1224.2185422150008
1313.5,23303.0,1248.2104006588308
1338.5,19604.0,1270.8028212015884
1363.5,16647.0,1296.9896890293437
1388.5,14391.0,1320.8488184838968
1413.5,12232.0,1351.806404418147
1438.5,10415.0,1378.1379142772219
1463.5,8728.0,1404.9837693197808
1488.5,7482.0,1435.3702415908858
1513.5,5830.0,1462.5599332989386
1538.5,4541.0,1487.6666085302659
1563.5,3215.0,1510.1000624969624
1588.5,2168.0,1532.5356068628741
1613.5,1414.0,1546.3352749189191
1638.5,1030.0,1574.1104019313182
1663.5,808.0,1606.0672515264832
1688.5,678.0,1637.0030242109722
1713.5,496.0,1663.658951297883
1738.5,368.0,1704.5048682171366
1763.5,194.0,1651.4826590941125
1788.5,123.0,1653.323885289634
1813.5,65.0,1639.3617037259614
1838.5,44.0,1690.2546553178267
1863.5,1131.0,1884.2977365077227
