BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-989.1379274065044
-986.5,63773187.0,-984.4225463900073
-961.5,34992110.0,-956.6394744418416
-936.5,41905467.0,-937.8009132764083
-911.5,38080256.0,-920.0202971170389
-886.5,23771967.0,-904.8913681511627
-861.5,17979050.0,-889.3543855763695
-836.5,12931271.0,-872.8232274857271
-811.5,8962811.0,-854.4810594997118
-786.5,6153836.0,-834.0080351820798
-761.5,4301469.0,-810.6717069313665
-736.5,3137777.0,-784.3821673267872
-711.5,2407275.0,-755.736706100863
-686.5,1939834.0,-725.8222937966768
-661.5,1624043.0,-695.7874591292054
-636.5,1404542.0,-666.3498698123718
-611.5,1239695.0,-637.4630197020507
-586.5,1116927.0,-609.3913554422832
-561.5,1023417.0,-581.3718191194317
-536.5,943062.0,-553.7343546159217
-511.5,882355.0,-525.0960462898406
-486.5,831351.0,-495.3913876627818
-461.5,797400.0,-464.3880201586094
-436.5,779854.0,-430.9852977554157
-411.5,781389.0,-394.72915811568805
-386.5,809733.0,-354.39557250584755
-361.5,875953.0,-311.33424997676525
-336.5,995447.0,-266.29452036497906
-311.5,1204919.0,-222.31192824095243
-286.5,1555477.0,-183.28338173188953
-261.5,2132879.0,-152.32359893118462
-236.5,3062338.0,-129.9083577247955
-211.5,4509843.0,-114.72534018900956
-186.5,6626563.0,-104.28391963088315
-161.5,9449163.0,-96.36995812843449
-136.5,15690863.0,-94.4869840229917
-111.5,32972315.0,-94.6297023956364
-86.5,29782682.0,-77.56020345872449
-61.5,22497902.0,-53.0786090518463
-36.5,21385066.0,-31.233915467655486
-11.5,22037069.0,-10.444200250449356
13.5,23720463.0,8.86231223594251
38.5,26446250.0,26.96100689716825
63.5,23003218.0,40.324812315615496
88.5,16255628.0,52.37343327510657
113.5,12750198.0,67.82560140293079
138.5,8213242.0,79.37267976425706
163.5,5789757.0,100.65733010772806
188.5,4161909.0,126.0656245736714
213.5,2918187.0,152.53550930734468
238.5,2167580.0,182.80728500310317
263.5,1717158.0,214.8697467258568
288.5,1427374.0,246.07685331790785
313.5,1215060.0,275.4112706639664
338.5,1040238.0,302.89909868198055
363.5,889650.0,329.20009584642884
388.5,763529.0,355.01215589476476
413.5,660387.0,380.8761828676998
438.5,575677.0,406.34061205481356
463.5,502491.0,432.0762747313441
488.5,448281.0,457.30057727093015
513.5,404719.0,483.21800143601155
538.5,367554.0,508.1728488492839
563.5,335258.0,532.852635422924
588.5,306823.0,557.2785397848745
613.5,282023.0,581.8037065506854
638.5,260259.0,606.5300579482843
663.5,237504.0,629.370992397626
688.5,219030.0,653.5232099628436
713.5,203713.0,677.3045617024961
738.5,187653.0,700.5843034437414
763.5,174636.0,724.9052719031981
788.5,162293.0,749.1561084585201
813.5,150501.0,772.9227231960779
838.5,139620.0,797.1509650767695
863.5,129132.0,820.4872302605502
888.5,120565.0,843.436834212326
913.5,112535.0,867.7735277681405
938.5,104543.0,891.4631442078792
963.5,96847.0,915.8272394630533
988.5,90013.0,938.9084693469895
1013.5,84059.0,962.6541618576161
1038.5,77531.0,987.0417439705695
1063.5,71673.0,1010.3534028709518
1088.5,65934.0,1033.313477332683
1113.5,60569.0,1057.691660175356
1138.5,54945.0,1081.5017989847092
1163.5,49769.0,1105.532018240433
1188.5,44958.0,1129.8757678906345
1213.5,40395.0,1153.0108676967534
1238.5,35524.0,1176.358992123118
1263.5,31649.0,1200.4198458650267
1288.5,27130.0,1224.218541364603
1313.5,23303.0,1248.2104004545333
1338.5,19604.0,1270.8028208342068
1363.5,16647.0,1296.9896889780136
1388.5,14391.0,1320.8488187044393
1413.5,12232.0,1351.8064040588818
1438.5,10415.0,1378.1379149452976
1463.5,8728.0,1404.9837683547428
1488.5,7482.0,1435.3702410687995
1513.5,5830.0,1462.5599341783475
1538.5,4541.0,1487.6666082883296
1563.5,3215.0,1510.1000624969624
1588.5,2168.0,1532.5356087209555
1613.5,1414.0,1546.3352768181742
1638.5,1030.0,1574.110403946071
1663.5,808.0,1606.067250166789
1688.5,678.0,1637.0030240309275
1713.5,496.0,1663.6589535128685
1738.5,368.0,1704.5048668902853
1763.5,194.0,1651.4826641279396
1788.5,123.0,1653.3238872745173
1813.5,65.0,1639.361707481971
1838.5,44.0,1690.2546442205255
1863.5,1131.0,1884.2977373711733
